OpenServerDay	StartDateTime	EndDateTime	KeyName	Type	Desc	TimeFrameLimitGE	TimeFrameLimitLE	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	Param9	Param10	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
	2018-06-16-04-00-00	2030-06-19-04-00-00	DuanWuJie	DuanWuJie	端午节活动													1	1	1	1			
	2016-06-25-03-59-59	2016-06-26-23-59-59	RechargeCardAct	RechargeCardAct														1	1	1	1			
	2016-07-12-04-00-00	2016-07-16-23-59-59	DomainBattleAct	DomainBattleAct														1	1	1	1			
	2016-07-17-04-00-00	2016-07-23-23-59-59	DomainBattleAct2	DomainBattleAct2														1	1	1	1			
	2016-07-18-04-00-00	2016-08-05-23-59-59	ServerVipeExChange	ServerVipeExChange														1	1	1	1			
	2016-08-09-00-00-00	2016-08-15-23-59-59	Qixi	Qixi														1	1	1	1			
	2016-08-02-04-00-00	2016-08-11-23-59-59	VipAwardBoxExchange	VipAwardBoxExchange														1	1	1	1			
OpenLevel49|1;OpenLevel49|3			GatherBox1	GatherBox	帮派庆典活动			49										1	1	1	1			
OpenLevel59|1;OpenLevel59|3			GatherBox2	GatherBox	帮派庆典活动			59										1	1	1	1			
OpenLevel69|1;OpenLevel69|3			GatherBox3	GatherBox	帮派庆典活动			69										1	1	1	1			
OpenLevel79|1;OpenLevel79|3			GatherBox4	GatherBox	帮派庆典活动			79										1	1	1	1			
OpenLevel89|1;OpenLevel89|3			GatherBox5	GatherBox	帮派庆典活动			89										1	1	1	1			
OpenLevel99|1;OpenLevel99|3			GatherBox6	GatherBox	帮派庆典活动			99										1	1	1	1			
OpenLevel109|1;OpenLevel109|3			GatherBox7	GatherBox	帮派庆典活动			109										1	1	1	1			
OpenLevel119|1;OpenLevel119|3			GatherBox8	GatherBox	帮派庆典活动			119										1	1	1	1			
OpenLevel129|1;OpenLevel129|3			GatherBox9	GatherBox	帮派庆典活动			129										1	1	1	1			
OpenLevel139|1;OpenLevel139|3			GatherBox10	GatherBox	帮派庆典活动			139										1	1	1	1			
OpenLevel149|1;OpenLevel149|3			GatherBox11	GatherBox	帮派庆典活动			149										1	1	1	1			
OpenLevel159|1;OpenLevel159|3			GatherBox12	GatherBox	帮派庆典活动			159										1	1	1	1			
	2016-12-11-00-00-00	2016-12-11-23-59-59	RechargeSumAct	RechargeSumAct	累计储值活动			Setting/Activity/RechargeSumActAward1.tab											1	1	1			
	2016-12-14-00-00-00	2016-12-14-23-59-59	RechargeSumAct	RechargeSumAct	累计储值活动			Setting/Activity/RechargeSumActAward1.tab											1	1	1			
	2016-12-18-00-00-00	2016-12-20-23-59-59	RechargeSumAct	RechargeSumAct	累计储值活动			Setting/Activity/RechargeSumActAward2.tab											1	1	1			
	2016-07-18-04-00-00	2016-07-25-23-59-59	ConsumeSumAct	ConsumeSumAct	累计消耗活动													1	1	1	1			
	2017-10-04-04-00-00	2017-10-06-23-59-59	ZhongQiuJie	ZhongQiuJie														1	1	1	1			
	2016-09-24-00-01-00	2016-09-25-23-59-59	KinGatherBossHigh	KinGatherBossHigh														1	1	1	1			
	2016-11-01-00-00-00	2016-11-01-23-59-59	RechargeCardActExt	RechargeCardActExt				100	100									1	1	1	1			
	2018-4-12-00-00-00	2018-5-20-23-59-59	NewServerPrivilege	NewServerPrivilege	老玩家回归			2018/4/12										1	1	1	1			
	2018-2-12-04-00-00	2018-3-2-23-59-59	ChouJiang	ChouJiang	抽奖活动													1	1	1	1			
	2016-09-28-00-01-00	2016-09-28-23-59-59	KinGatherBossHigh	KinGatherBossHigh														1	1	1	1			
	2016-9-30-04-00-00	2016-10-10-00-00-00	JinXiuShanHe	JinXiuShanHe														1	1	1	1			
	2016-10-01-00-00-00	2030-10-02-04-00-00	SendBlessAct	SendBlessAct														1	1	1	1			
	2016-10-04-00-00-00	2030-10-05-04-00-00	SendBlessAct	SendBlessAct														1	1	1	1			
	2016-10-07-00-00-00	2030-10-08-04-00-00	SendBlessAct	SendBlessAct														1	1	1	1			
	2017-4-29-04-00-00	2017-5-02-04-00-00	WeekendQuestion	WeekendQuestion	乱点鸳鸯谱													1	1	1	1			
