Name	Type	SaveId	TakeLimit	BeginDay	EndDay	MinLevel	MaxLevel	MailTxt	Award1	Award2	Award3	Award4	Award5	Award6	Award7	Award8	Award9	Award10	Desc
	JX1	1	1					恭喜你在成功领取了礼包	Gold|50	Coin|5000	item|1345|5								
	JX2	2	1					恭喜你在成功领取了礼包	Gold|50	Coin|10000	item|212|10	item|1345|10							
	JX3	3	1					恭喜你在成功领取了礼包	Gold|100	item|212|20	item|1006|5	item|1345|20							
	JXS	4	1					恭喜你在成功领取了珍贵礼包	Gold|200	item|222|5	item|1006|10	item|1345|20							
	BG1	5	99					恭喜你在成功领取了BUG回馈奖励礼包：100元宝	Gold|100										
	BG2	6	99					恭喜你在成功领取了BUG回馈奖励礼包：500元宝	Gold|500										
	BG3	7	99					恭喜你在成功领取了BUG回馈奖励礼包：2000元宝	Gold|2000										
情缘B礼包	QY2		16000	2016/9/23	2017/9/30			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|786|5	item|785|5	item|2301|3	item|787|10						同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
情缘C礼包	QY3		16000	2016/9/23	2017/9/30			    尊敬的侠士，恭喜你成功领取了礼包！	item|1929|2	item|1234|5	item|1235|5	item|1968|4							同一批礼包序号，同角色可重复兑换。每组序号限领一次。
入帮礼包	Family		10000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Coin|5000	item|212|5	item|787|3								同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
帮派礼包A	FamilyNum30		10000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Coin|5000	Gold|100	item|212|10	item|1929|2							同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
帮派礼包B	FamilyNum50		10000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|200	item|2167|1	item|2301|3	item|1412|4							同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
区冠军礼包	FamilyNumDC		5000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|100	item|786|3	item|785|2								同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
区亚军礼包	FamilyNumSP		5000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|80	item|786|2	item|785|1								同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
区季军礼包	FamilyNumTP		5000	2016/9/8	2017/12/8			    尊敬的侠士，恭喜你成功领取了礼包！	Gold|50	item|786|1	item|785|1								同一批礼包序号，同角色不可重复兑换。每组序号限领一次。
