GroupID	Desc1	ItemTemplate	Desc2	TimeFrame	Factor	Value	GuaranteeKey
1	秦始皇	1396	帝皇令	OpenDay89	20000	3000000	
1	秦始皇	2796	黄金图谱·帽子	OpenDay89	3000	3000000	Imperial_Emperor_2796
1	秦始皇	2797	黄金图谱·腰带	OpenDay89	3000	3000000	Imperial_Emperor_2797
1	秦始皇	2800	黄金图谱·项链	OpenDay89	6000	3000000	Imperial_Emperor_2800
1	秦始皇	2795	黄金图谱·衣服	OpenDay89	22500	3000000	Imperial_Emperor_2795
1	秦始皇	2827	魂石·秦始皇（阴）	OpenDay89	22750	3000000	
1	秦始皇	2828	魂石·秦始皇（阳）	OpenDay89	22750	3000000	
1	秦始皇	1396	帝皇令	OpenDay153	20000	3000000	
1	秦始皇	2802	黄金图谱·玉佩	OpenDay153	3000	3000000	Imperial_Emperor_2802
1	秦始皇	2795	黄金图谱·衣服	OpenDay153	9000	3000000	Imperial_Emperor_2795
1	秦始皇	2794	黄金图谱·武器	OpenDay153	22500	3000000	Imperial_Emperor_2794
1	秦始皇	2827	魂石·秦始皇（阴）	OpenDay153	22750	3000000	
1	秦始皇	2828	魂石·秦始皇（阳）	OpenDay153	22750	3000000	
1	秦始皇	1396	帝皇令	OpenLevel99	20000	3000000	
1	秦始皇	2802	黄金图谱·玉佩	OpenLevel99	3000	3000000	Imperial_Emperor_2802
1	秦始皇	2795	黄金图谱·衣服	OpenLevel99	9000	3000000	Imperial_Emperor_2795
1	秦始皇	2794	黄金图谱·武器	OpenLevel99	22500	3000000	Imperial_Emperor_2794
1	秦始皇	2827	魂石·秦始皇（阴）	OpenLevel99	22750	3000000	
1	秦始皇	2828	魂石·秦始皇（阳）	OpenLevel99	22750	3000000	
1	秦始皇	1396	帝皇令	OpenDay204	16500	3000000	
1	秦始皇	2802	黄金图谱·玉佩	OpenDay204	3000	3000000	Imperial_Emperor_2802
1	秦始皇	2795	黄金图谱·衣服	OpenDay204	7500	3000000	Imperial_Emperor_2795
1	秦始皇	2794	黄金图谱·武器	OpenDay204	18000	3000000	Imperial_Emperor_2794
1	秦始皇	2827	魂石·秦始皇（阴）	OpenDay204	20000	3000000	
1	秦始皇	2828	魂石·秦始皇（阳）	OpenDay204	20000	3000000	
1	秦始皇	3554	同伴·秦始皇	OpenDay204	15000	3000000	Imperial_Emperor_3554
1	秦始皇	1396	帝皇令	OpenDay234	16500	3000000	
1	秦始皇	2795	黄金图谱·衣服	OpenDay234	6500	3000000	Imperial_Emperor_2795
1	秦始皇	2794	黄金图谱·武器	OpenDay234	12000	3000000	Imperial_Emperor_2794
1	秦始皇	2827	魂石·秦始皇（阴）	OpenDay234	20000	3000000	
1	秦始皇	2828	魂石·秦始皇（阳）	OpenDay234	20000	3000000	
1	秦始皇	3554	同伴·秦始皇	OpenDay234	15000	3000000	Imperial_Emperor_3554
1	秦始皇	3544	秦始皇本命武器	OpenDay234	10000	3000000	Imperial_Emperor_3544
1	秦始皇	1396	帝皇令	OpenLevel109	16500	3000000	
