SubKind	ParentKind	Level	FinishCount	NeedPush	ListType	Title	Desc	Award	AwardTitle
Chat_Private	Chat	1	1			窃窃私语	密聊其他玩家	Gold|5000	
Chat_Emotion	Chat	2	1			言辞并茂	在任意频道发送表情	Gold|5000	
Chat_Voice	Chat	3	1			余音绕梁	成功使用语音聊天	Gold|5000	
Chat_Public	Chat	4	1			大家好！	发送公聊资讯	Gold|5000	
Chat_Color	Chat	5	1			千里传音	发送彩聊资讯	Gold|1000	
Angry_Normal	Angry	1	1			我火大！	释放怒气技能	Gold|5000	
QuickTeamUp_Normal	QuickTeamUp	1	1			快速组队	使用快速组队成功参与一次组队活动	Gold|5000	
Prison_1	Prison	1	1			追影令	第1次通过追影令挑战其他玩家	Gold|5000	
Title_Normal	Title	1	1			江湖名号	获得一个称号	Gold|1000	
Title_Purple	Title	2	1			小有名气	获得一个紫色称号	Gold|3000	
Title_Pink	Title	3	1			名声在外	获得一个粉色称号	Gold|5000	
Title_Orange	Title	4	1	1		声名显赫	获得一个橙色称号	Gold|10000	
Title_Gold	Title	5	1	1		名动江湖	获得一个金色称号	Gold|30000	
Charm_1	Charm	1	500	1		有点姿色	魅力值达到500	Gold|1000	
Charm_1	Charm	2	2000	1	1	如花似玉	魅力值达到2000	Gold|3000;Item|6990|1	
Charm_1	Charm	3	5000	1	1	绝色美人	魅力值达到5000	Gold|5000;Item|6991|1	
Charm_1	Charm	4	20000	1	1	倾国倾城	魅力值达到20000	Gold|10000;Item|6992|1	
Charm_1	Charm	5	100000	1		人见人爱	魅力值达到100000	Gold|30000	1068
Partner_1	Partner	1	1			天涯相伴	第一次获得同伴	Gold|500	
Partner_2	Partner	2	1			江湖豪杰	第一次获得A级以上的同伴	Gold|500	
Partner_3	Partner	3	1			人员齐整	出战满4个同伴	Gold|100	
Partner_4	Partner	4	1			一流侠客	第一次获得S级以上的同伴	Gold|300	
Partner_5	Partner	5	1	1		共览众山小	出战满4个S级以上的同伴	Gold|1000	1000
FriendFamiliar_1	FriendFamiliar	1	3			清交素友	与3个好友的亲密度达到5级	Gold|300	
FriendFamiliar_2	FriendFamiliar	2	3			情深意重	与3个好友的亲密度达到10级	Gold|500	
FriendFamiliar_3	FriendFamiliar	3	3			肝胆相照	与3个好友的亲密度达到20级	Gold|1000	
FriendFamiliar_4	FriendFamiliar	4	3			相交莫逆	与3个好友的亲密度达到30级	Gold|3000	
FriendFamiliar_5	FriendFamiliar	5	3	1		情同生死	与3个好友的亲密度达到40级	Gold|5000	1002
Foe_1	Foe	1	1			挑战敌人	第1次通过敌人接口挑战其他玩家	Gold|5000	
Family_1	Family	1	1			人在江湖	成功加入帮派	Gold|500	
Family_2	Family	2	1			温馨港湾	进入帮派地图	Gold|500	
Family_3	Family	3	1			帮派礼物	成功获取一个帮派礼盒	Gold|500	
Family_4	Family	4	1			装备打造	在帮派作坊打造1次装备	Gold|1000	
Family_5	Family	5	1			帮派烤火	参与1次帮派烤火活动	Gold|2000	
GetMeFight_1	GetMeFight	1	1			传功	累计传功或被传功1次	Gold|1000	
GetMeFight_1	GetMeFight	2	3			渐入佳境	累计传功或被传功3次	Gold|10000	
GetMeFight_1	GetMeFight	3	10			功力深厚	累计传功或被传功10次	Gold|20000	
GetMeFight_1	GetMeFight	4	30			修为精湛	累计传功或被传功30次	Gold|30000	1006
GetMeFight_1	GetMeFight	5	100	1		炉火纯青	累计传功或被传功100次	Gold|50000	1007
FamilyContribute_1	FamilyContribute	1	1			帮派捐献	完成1次帮派捐献	Gold|1000	
FamilyContribute_1	FamilyContribute	2	10			无私捐献	完成10次帮派捐献	Gold|20000	
FamilyContribute_1	FamilyContribute	3	50			功勋卓着	完成50次帮派捐献	Gold|30000	
FamilyContribute_1	FamilyContribute	4	200			顶梁柱	完成200次帮派捐献	Gold|50000	
FamilyContribute_1	FamilyContribute	5	1000	1		千金散尽还复来	完成1000次帮派捐献	Gold|100000	1008
FamilyContribute_1	FamilyContribute	6	10000	1	1	富可敌国	完成10000次帮派捐献	Gold|500000;Item|4250|1	
PayOff_1	PayOff	1	1			帮派薪水	领取1次帮派薪水	Gold|100	
PayOff_1	PayOff	2	100			多劳多得	累计领取的帮派薪水超过100元宝	Gold|200	
PayOff_1	PayOff	3	1000			积极分子	累计领取的帮派薪水超过1000元宝	Gold|300	
PayOff_1	PayOff	4	3000			帮派资深成员	累计领取的帮派薪水超过3000元宝	Gold|500	
PayOff_1	PayOff	5	10000			帮派核心成员	累计领取的帮派薪水超过10000元宝	Gold|1000	
FirstAuctionDeal_1	FirstAuctionDeal	1	1			拍卖行	进入拍卖行查看	Gold|500	
FirstAuctionDeal_2	FirstAuctionDeal	2	1			商品竞拍	成功从拍卖行中拍到一件物品	Gold|200	
EquipRefinement_1	EquipRefinement	1	1			装备洗练	成功完成一次装备洗练	Gold|500	
EquipRefinement_2	EquipRefinement	2	1			细心打磨	将身上一件装备洗满6条属性	Gold|1000	
EquipRefinement_3	EquipRefinement	3	1			精心雕琢	将一条橙色属性洗练到装备上	Gold|2000	
EquipRefinement_4	EquipRefinement	4	1	1		千锤百炼	将身上一件装备洗满6条紫色以上属性	Gold|500	
EquipRefinement_5	EquipRefinement	5	1	1		神兵宝甲	身上所有装备洗满6条紫色以上属性	Gold|1000	
EnhanceOnce_1	EnhanceOnce	1	1			装备强化	装备强化成功	Gold|500	
EnhanceFailure_1	EnhanceFailure	1	1			运气不佳	装备强化连续失败三次	Gold|1000	
EnhanceMaster_1	EnhanceMaster	1	10			强化学徒	全身装备强化+5以上	Gold|1000	
EnhanceMaster_2	EnhanceMaster	2	10			强化专家	全身装备强化+20以上	Gold|2000	
EnhanceMaster_3	EnhanceMaster	3	10			强化巨匠	全身装备强化+40以上	Gold|3000	
EnhanceMaster_4	EnhanceMaster	4	10	1		强化大师	全身装备强化+60以上	Gold|5000	1009
EnhanceMaster_5	EnhanceMaster	5	10	1		强化宗师	全身装备强化+80以上	Gold|10000	1010
EnhanceMaster_6	EnhanceMaster	6	10	1	1	强化圣匠	全身装备强化+100以上	Gold|50000;Item|4247|1	
InsetOnce_1	InsetOnce	1	1			装备镶嵌	在装备上镶嵌一颗魂石	Gold|500	
InsetFull_1	InsetFull	1	1			无孔不入	将一件装备镶嵌满四颗魂石	Gold|1000	
InsetMaster_1	InsetMaster	1	1			镶嵌学徒	镶嵌20个1级以上魂石	Gold|200	
InsetMaster_2	InsetMaster	2	1			镶嵌专家	镶嵌20个2级以上魂石	Gold|300	
InsetMaster_3	InsetMaster	3	1			镶嵌巨匠	镶嵌20个3级以上魂石	Gold|500	
InsetMaster_4	InsetMaster	4	1	1		镶嵌大师	镶嵌20个4级以上魂石	Gold|5000	1011
InsetMaster_5	InsetMaster	5	1	1		镶嵌宗师	镶嵌20个5级以上魂石	Gold|10000	1012
InsetMaster_6	InsetMaster	6	1	1	1	镶嵌圣匠	镶嵌40个6级以上魂石	Gold|50000;Item|4249|1	
PerfectDay_1	PerfectDay	1	20			好的开始	每日目标完成度达到20	Gold|5000	
PerfectDay_1	PerfectDay	2	60			再接再厉	每日目标完成度达到60	Gold|10000	
PerfectDay_1	PerfectDay	3	80			勤勤恳恳	每日目标完成度达到80	Gold|20000	
PerfectDay_1	PerfectDay	4	100			完美的一天	每日目标完成度达到100	Gold|30000	
PerfectDay_2	PerfectDay	5	1	1		完美的一周	连续7天每日目标完成度均达到100	Gold|10000	
SignIn_1	SignIn	1	1			初来乍到	领取1次签到奖励	Gold|50000	
SignIn_1	SignIn	2	3			我又来了	领取3次签到奖励	Gold|100000	
SignIn_1	SignIn	3	10			剑侠十日游	领取10次签到奖励	Gold|200000	
SignIn_1	SignIn	4	30			江湖豪侠	领取30次签到奖励	Gold|300000	
SignIn_1	SignIn	5	100	1		真正的剑侠	领取100次签到奖励	Gold|500000	1017
MoneyTree_1	MoneyTree	1	1			摇钱树	使用摇钱树1次	Gold|5000	
MoneyTree_1	MoneyTree	2	10			钱如雨下	使用摇钱树10次	Gold|10000	
MoneyTree_1	MoneyTree	3	50			招财进宝	使用摇钱树50次	Gold|20000	
