szKind	nCount	nPoint	szAward		nKinMsg	nWorldMsg	szName	szDesc
SignIn_1	1	3	Gold|5				侠客行·一	累计签到1天
SignIn_1	2	3	Gold|10				侠客行·二	累计签到2天
SignIn_1	3	3	Gold|10				侠客行·三	累计签到3天
SignIn_1	4	3	Gold|10				侠客行·四	累计签到4天
SignIn_1	5	3	Gold|10				侠客行·五	累计签到5天
SignIn_1	7	3	Gold|10				侠客行·六	累计签到7天
SignIn_1	10	3	Gold|20				侠客行·七	累计签到10天
SignIn_1	30	50	Gold|30				剑心不老·一	累计签到30天
SignIn_1	100	100	Gold|50;item|9599|1		1		剑心不老·二	累计签到100天
SignIn_1	200	150	Gold|50;item|9579|1;item|9600|1		1		剑心不老·三	累计签到200天
SignIn_1	500	200	Gold|50;item|9601|1		1	1	剑心不老·四	累计签到500天
SignIn_1	1000	300	Gold|50;item|9602|1		1	1	剑心不老·五	累计签到1000天
PerfectDay_1	100	5	Gold|10				完美的一天·一	活跃值达到100
PerfectDay_3	1	10	Gold|20				完美的一天·二	连续3天活跃值达到100
PerfectDay_2	1	20	Gold|30				完美的一天·三	连续7天活跃值达到100
PerfectDay_4	1	40	Gold|30				完美的一天·四	连续15天活跃值达到100
PerfectDay_5	1	70	Gold|50;item|9603|1				完美的一天·五	连续30天活跃值达到100
PerfectMonth	1	60	Gold|20				完美的一月·一	一个月内完成所有签到领奖
PerfectMonth	2	80	Gold|30				完美的一月·二	累计2次一个月内完成所有签到领奖
PerfectMonth	5	100	Gold|100;item|9604|1		1		完美的一月·三	累计5次一个月内完成所有签到领奖
AchievementPoint	1000	20	Gold|100				功成名就·一	成就点数突破1000
AchievementPoint	3000	50	Gold|200				功成名就·二	成就点数突破3000
AchievementPoint	5000	80	Gold|300;item|9573|1;item|9605|1		1		功成名就·三	成就点数突破5000
AchievementPoint	7500	100	Gold|500;item|9606|1		1		功成名就·四	成就点数突破7500
AchievementPoint	10000	150	Gold|800;item|9607|1		1	1	功成名就·五	成就点数突破10000
AchievementPoint	12000	200	Gold|1000;item|9608|1		1	1	功成名就·六	成就点数突破12000
PlayerLevel	20	5	Gold|10				初入江湖	等级达到20级
PlayerLevel	40	5	Gold|10				小试牛刀	等级达到40级
PlayerLevel	60	5	Gold|20				武林翘楚	等级达到60级
PlayerLevel	80	5	Gold|20				武林豪杰	等级达到80级
PlayerLevel	100	10	Gold|50				独步武林	等级达到100级
PlayerLevel	120	10	Gold|50				武林名宿	等级达到120级
PlayerLevel	140	20	Gold|100				武林泰斗	等级达到140级
PlayerLevel	160	20	Gold|100				武林之巅	等级达到160级
HonorLevel_1	1	3	Gold|10				江湖头衔	获得1个头衔
Label	1	3	Gold|10				超凡入圣	头衔升至超凡
Label	2	3	Gold|10				出尘脱俗	头衔升至出尘
Label	3	3	Gold|10				翩若惊鸿	头衔升至惊鸿
Label	4	3	Gold|10				大志淩云	头衔升至淩云
Label	5	3	Gold|10				御剑当空	头衔升至御空
Label	6	5	Gold|20				潜龙勿用	头衔升至潜龙
Label	7	5	Gold|20				傲世轻物	头衔升至傲世
Label	8	10	Gold|50				倚天屠龙	头衔升至倚天
Label	9	10	Gold|50				武林至尊	头衔升至至尊
Label	10	20	Gold|100				武林圣者	头衔升至武圣
Label	11	30	Gold|100				举世无双	头衔升至无双
Label	12	40	Gold|100				武林传说	头衔升至传说
Label	13	50	Gold|100				武林神话	头衔升至神话
Title_Normal	1	3	Gold|10				小有名声	获得1个称号
Title_Purple	1	5	Gold|30				声名鹊起	获得1个紫色称号
Title_Pink	1	10	Gold|50				名声在外	获得1个粉色称号
Title_Orange	1	20	Gold|100		1		声名显赫	获得1个橙色称号
Title_Gold	1	40	Gold|300		1		名动江湖	获得1个金色称号
Title_Collector	10	3	Gold|10				称号收集者·一	获得10个紫色及以上称号
Title_Collector	20	5	Gold|20				称号收集者·二	获得20个紫色及以上称号
Title_Collector	40	10	Gold|30				称号收集者·三	获得40个紫色及以上称号
Title_Collector	60	20	Gold|50		1		称号收集者·四	获得60个紫色及以上称号
Title_Collector	100	50	Gold|100		1	1	称号收集者·五	获得100个紫色及以上称号
Task_1	1	5	Gold|10				游历江湖·一	完成月影传说序章：柳暗花明又一村
Task_2	1	5	Gold|10				游历江湖·二	完成月影传说次章：十年不晚君子仇
Task_3	1	5	Gold|10				游历江湖·三	完成月影传说终章：武林霸图黄粱梦
Task_4	1	5	Gold|10				游历江湖·四	完成月影传说所有章节
Task_5	1	5	Gold|20				游历江湖·五	完成剑侠情缘·壹第一章：往日古人今犹在
Task_6	1	5	Gold|20				游历江湖·六	完成剑侠情缘·壹第二章：碧霞海岛仗剑行
Task_7	1	5	Gold|20				游历江湖·七	完成剑侠情缘·壹第三章：风雷九州凤九天
Task_8	1	5	Gold|20				游历江湖·八	完成剑侠情缘·壹第四章：一代恩怨两代仇
Task_9	1	5	Gold|20				游历江湖·九	完成剑侠情缘·壹第五章：天魔解体动八方
Task_10	1	5	Gold|20				游历江湖·十	完成剑侠情缘·壹第六章：天山絮雪诉莲心
Task_11	1	5	Gold|20				游历江湖·十一	完成剑侠情缘·壹第七章：兄弟之义手足情
Task_12	1	5	Gold|20				游历江湖·十二	完成剑侠情缘·壹第八章：侠之大者卫山河
Task_13	1	5	Gold|20				游历江湖·十三	完成剑侠情缘·壹所有章节
Equip_1	1	5	Gold|10				初识精品	获得一件紫色装备
Equip_2	1	10	Gold|30				初识上品	获得一件橙色装备
Equip_3	1	20	Gold|50				初识极品	获得一件黄金装备
InsetOnce_1	1	3	Gold|5				镶嵌入门	在装备上镶嵌1颗魂石
InsetMaster_1	1	5	Gold|20				镶嵌学徒	镶嵌20个1级以上魂石
InsetMaster_2	1	5	Gold|30				镶嵌专家	镶嵌20个2级以上魂石
InsetMaster_3	1	10	Gold|50				镶嵌巨匠	镶嵌20个3级以上魂石
InsetMaster_4	1	20	Gold|50;item|9609|1		1		镶嵌大师	镶嵌20个4级以上魂石
InsetMaster_5	1	40	Gold|100;item|9610|1		1		镶嵌宗师	镶嵌20个5级以上魂石
InsetMaster_6	1	80	Gold|500;item|4249|1		1		镶嵌圣匠	镶嵌40个6级以上魂石
EquipRefinement_1	1	3	Gold|1				洗练入门	成功完成1次装备洗练
EquipRefinement_2	1	5	Gold|20				属性齐全	将身上一件装备洗满6条属性
EquipRefinement_3	1	10	Gold|30				顶级属性	将一条橙色属性洗练到装备上
EquipRefinement_4	1	20	Gold|40;item|9611|1		1		精益求精	将身上一件装备洗满6条紫色及以上属性
EquipRefinement_5	1	40	Gold|50;item|9612|1		1		兵坚甲利	身上所有装备洗满6条紫色及以上属性
EnhanceOnce_1	1	3	Gold|5				强化入门	成功完成1次装备强化
EnhanceMaster_1	10	5	Gold|5				强化学徒	全身装备强化+5以上
EnhanceMaster_2	10	5	Gold|20				强化专家	全身装备强化+20以上
EnhanceMaster_3	10	10	Gold|40				强化巨匠	全身装备强化+40以上
EnhanceMaster_4	10	10	Gold|60;item|9613|1		1		强化大师	全身装备强化+60以上
EnhanceMaster_5	10	20	Gold|80;item|9614|1		1		强化宗师	全身装备强化+80以上
EnhanceMaster_6	10	50	Gold|100;item|4247|1		1		强化圣匠	全身装备强化+100以上
EnhanceFailure_1	1	5	Gold|10				倒楣倒楣·一	装备强化连续失败3次
EnhanceFailure_2	1	10	Gold|30				倒楣倒楣·二	装备强化连续失败4次
EnhanceFailure_3	1	20	Gold|30				倒楣倒楣·三	装备强化连续失败5次
EnhanceFailure_4	1	30	Gold|50				倒楣倒楣·四	装备强化连续失败6次
EnhanceFailure_5	1	50	Gold|100;item|9578|1		1		倒楣透顶	装备强化连续失败7次
EnhanceFailure_6	1	10	Gold|50				天要亡我	成功率在90%及以上时强化失败
Partner_1	1	3	Gold|5				招兵买马	第一次获得同伴
Partner_4	1	5	Gold|30				得此强援	第一次获得S级及以上同伴
Partner_6	1	10	Gold|50				名士相助	第一次获得SS级及以上同伴
Partner_8	1	20	Gold|100				左膀右臂	第一次获得SSS级同伴
Partner_3	1	5	Gold|10				齐齐整整	出战满4个同伴
Partner_5	1	10	Gold|100;item|9615|1		1		得道多助·一	出战满4个S级及以上同伴
Partner_7	1	20	Gold|100		1		得道多助·二	出战满4个SS级及以上同伴
Partner_Skill1	1	5	Gold|10				技不压身·一	给1个同伴学满5个白色及以上技能
Partner_Skill2	1	10	Gold|20				技不压身·二	给1个同伴学满5个绿色及以上技能
Partner_Skill3	1	20	Gold|30				技不压身·三	给1个同伴学满5个蓝色及以上技能
Partner_Skill4	1	30	Gold|50				技不压身·四	给1个同伴学满5个紫色及以上技能
Partner_Equip	1	5	Gold|20				授君神器·一	给1个同伴装备本命武器
Partner_Equip	2	10	Gold|50				授君神器·二	给2个同伴装备本命武器
Partner_Equip	3	20	Gold|50				授君神器·三	给3个同伴装备本命武器
Partner_Equip	4	30	Gold|100		1		授君神器·四	给4个同伴装备本命武器
Partner_Awaken	1	10	Gold|50				觉醒·一	觉醒任意1个同伴
Partner_Awaken	2	20	Gold|50				觉醒·二	觉醒任意2个同伴
Partner_Awaken	3	30	Gold|100				觉醒·三	觉醒任意3个同伴
Partner_Awaken	4	50	Gold|200;item|9616|1		1		觉醒·四	觉醒任意4个同伴
Partner_CE	20000	5	Gold|20				兵强马壮·一	上阵同伴战力达到20000
Partner_CE	40000	10	Gold|50				兵强马壮·二	上阵同伴战力达到40000
Partner_CE	100000	20	Gold|100				兵强马壮·三	上阵同伴战力达到100000
Partner_CE	300000	50	Gold|200		1		兵强马壮·四	上阵同伴战力达到300000
Guest_Amount	1	5	Gold|20				养士之风·一	给1个同伴上阵5个门客
Guest_Amount	4	10	Gold|50				养士之风·二	给4个同伴上阵5个门客
Guest_Property	1	5	Gold|10				得此臂助·一	启动1个门客的护主属性
Guest_Property	4	10	Gold|50				得此臂助·二	启动4个门客的护主属性
Guest_Combination	1	5	Gold|20				互为犄角·一	启动1组门客的组合属性
Guest_Combination	5	10	Gold|50				互为犄角·二	启动5组门客的组合属性
Guest_Combination	8	20	Gold|100		1		互为犄角·三	启动8组门客的组合属性
Guest_Defend	1	10	Gold|20				看家护院	有4个门客入住自己的家园
Guest_Fealty	1	5	Gold|20				忠诚无间·一	拥有1个友好度5星的门客
Guest_Fealty	5	10	Gold|30				忠诚无间·二	拥有5个友好度5星的门客
Guest_Fealty	10	20	Gold|50				忠诚无间·三	拥有10个友好度5星的门客
Guest_Fealty	25	50	Gold|100		1		忠诚无间·四	拥有25个友好度5星的门客
Guest_Task1	1	5	Gold|10				巧遇门客	日常副本时碰到自己的门客并完成对话
Guest_Task2	1	5	Gold|10				我来助你	帮助门客完成1次游历秘境副本
Guest_Task3	1	5	Gold|10				多谢来访	碰到好友前来拜访的门客并回答其问题
Guest_Task4	1	10	Gold|20				悬崖勒马	5分钟内帮派齐心协力制服自己的心魔
Meridian	1	3	Gold|10				打通穴位	第一次冲穴成功
Meridian_Qugu1	1	5	Gold|10				任脉精通·一	第一次打通曲骨穴位
Meridian_Changqiang1	1	5	Gold|10				督脉精通·一	第一次打通长强穴位
Meridian_Youmen1	1	5	Gold|10				冲脉精通·一	第一次打通幽门穴位
Meridian_Jingming1	1	5	Gold|10				阳翘脉精通·一	第一次打通睛明穴位
Meridian_Qugu1	5	10	Gold|20				任脉精通·二	曲骨穴位升至5重
Meridian_Changqiang1	5	10	Gold|20				督脉精通·二	长强穴位升至5重
Meridian_Youmen1	5	10	Gold|20				冲脉精通·二	幽门穴位升至5重
Meridian_Jingming1	5	10	Gold|20				阳翘脉精通·二	睛明穴位升至5重
Meridian_Qugu1	10	20	Gold|30				任脉精通·三	曲骨穴位升至10重
Meridian_Changqiang1	10	20	Gold|30				督脉精通·三	长强穴位升至10重
Meridian_Youmen1	10	20	Gold|30				冲脉精通·三	幽门穴位升至10重
Meridian_Jingming1	10	20	Gold|30				阳翘脉精通·三	睛明穴位升至10重
Meridian_Qugu1	20	50	Gold|50				任脉精通·四	曲骨穴位升至20重
Meridian_Changqiang1	20	50	Gold|50				督脉精通·四	长强穴位升至20重
Meridian_Youmen1	20	50	Gold|50				冲脉精通·四	幽门穴位升至20重
Meridian_Jingming1	20	50	Gold|50				阳翘脉精通·四	睛明穴位升至20重
Meridian_Failure_1	3	5	Gold|20				难如登天·一	单个穴位冲穴连续失败3次
Meridian_Failure_1	4	10	Gold|30				难如登天·二	单个穴位冲穴连续失败4次
Meridian_Failure_1	5	20	Gold|50				难如登天·三	单个穴位冲穴连续失败5次
Meridian_Failure	2	10	Gold|30				这是错觉	十拿九稳情况下冲穴连续失败2次
Knack_1	1	3	Gold|10				亲友助我	装备任意1个诀要
Knack_2	1	5	Gold|10				勤加修炼	第一次提升任意诀要的修炼等级
Knack_3	1	5	Gold|20				六位一体·一	装备满6个任意修炼等级的诀要
Knack_4	2	10	Gold|20				六位一体·二	装备满6个修炼等级为2的诀要
Knack_4	4	20	Gold|30				六位一体·三	装备满6个修炼等级为4的诀要
ZhenYuan_1	1	3	Gold|10				真元凝聚	凝聚1次真元
ZhenYuan_Rare	1	10	Gold|20				稀有真元	鉴定出1个稀有真元
ZhenYuan_Skill	1	20	Gold|100				真元技能	鉴定出1个带技能的真元
ZhenYuanRefinement_1	1	3	Gold|10				真元洗练	完成1次真元洗练
ZhenYuanRefinement_2	1	10	Gold|50				四维加持	真元上同时有力量、体质、敏捷、灵巧属性
ZhenYuanRefinement_Skill	1	20	Gold|50				移形换影	完成1次真元技能洗练
HuaShan_1	1	3	Gold|10				华山首秀	首次参加华山论剑
HuaShan_Alone	1	5	Gold|10				一个人的华山	一场华山论剑比赛中自己单人出场
HuaShanLunJian_16	1	10	Gold|20				华山十六强	入围华山论剑十六强
HuaShanLunJian_8	1	20	Gold|30				华山八强	入围华山论剑八强
HuaShanLunJian_4	1	30	Gold|50				华山四强	入围华山论剑四强
HuaShanLunJian_1	1	50	Gold|500;item|4245|1		1		华山之巅	成功夺得华山论剑冠军
HuaShanLunJian_1	10	100	Gold|500;item|9617|1		1	1	冠绝江湖	夺得华山论剑冠军10次
FactionBattle_1	1	3	Gold|10				门派的盛会	成功参加门派竞技
FactionBattle_2	1	5	Gold|20				门派高手	成功进入门派竞技淘汰赛
FactionBattle_3	1	10	Gold|30				门派八强	成功进入门派竞技八强
FactionBattle_4	1	20	Gold|50				门派四强	成功进入门派竞技四强
FactionBattle_5	1	30	Gold|100				最后的对决	成功进入门派竞技决赛
FactionBattleNew_1	1	40	Gold|200		1		新人王	成功夺得门派竞技新人王
FactionBattleNew_1	5	50	Gold|200		1		五夺新人王	成功夺得5次门派竞技新人王
FactionBattleNew_1	10	80	Gold|500		1	1	十夺新人王	成功夺得10次门派竞技新人王
FactionBattleNew_1	30	150	Gold|500		1	1	老人王	成功夺得30次门派竞技新人王
FactionBattleBrother_1	1	60	Gold|500;item|4244|1		1		首席弟子	成功当选门派竞技大师兄
FactionBattleBrother_2	1	80	Gold|500;item|9618|1		1	1	连任大师兄	连续当选两届门派竞技大师兄
QunYingHui_1	1	3	Gold|10				初战群英	在群英会中取得一场胜利
QunYingHui_5	1	10	Gold|20				锋芒初露	在群英会中连胜5场
QunYingHui_12	1	20	Gold|50				傲视群英·一	一次群英会中获胜12场及以上
QunYingHui_12P	1	20	Gold|100				傲视群英·二	一次群英会中单人匹配获胜12场及以上
QunYingHui_12	5	50	Gold|100		1		傲视群英·三	群英会获得12胜达到5次
QunYingHui_12	20	100	Gold|200		1	1	傲视群英·四	群英会获得12胜达到20次
QunYingHui_16	1	100	Gold|200				我武惟扬	一次群英会中获得16场全胜
Battle_1	1	3	Gold|10				从军入伍	报名参加1次战场
Battle_1	10	5	Gold|20				扬刀立马	参加10次战场
Battle_3	10	10	Gold|30;item|9619|1				常胜之师	参加战场获胜10场
Battle_1	100	20	Gold|50;item|9620|1		1		醉卧沙场	参加100次战场
Battle_3	100	30	Gold|100;item|9621|1		1		一将功成万骨枯	参加战场获胜100场
Battle_Combo1	1	5	Gold|10				威震沙场·一	宋金战场中完成10连斩
Battle_Combo2	1	10	Gold|30				威震沙场·二	宋金战场中完成20连斩
Battle_Combo3	1	20	Gold|100		1		威震沙场·三	宋金战场中完成50连斩
Battle_Combo4	1	50	Gold|200		1	1	威震沙场·四	宋金战场中完成100连斩
Rank_1	1	5	Gold|10				血战黄沙	战场个人排名前50%
Rank_2	1	10	Gold|20				急先锋	战场个人排名前3
Rank_3	1	20	Gold|30				战功第一	战场个人排名第一
