ItemId	Desc	ItemCount1	ItemCount2	ItemCount3	ItemCount4	ItemCount5	ItemCount6	ItemCount7	ItemCount8	ItemCount9	ItemCount10	ItemCount11	ItemCount12	SilverBoard	OneUp	ForbidStall
1394	名将令	5												1	1	1
1395	逐鹿令		5											1	1	1
1396	帝皇令				5	5	5	10	10	5	5	5	5	1	1	1
4282	1阶稀有真元（未鉴定）		3											1	1	0
4283	2阶稀有真元（未鉴定）			3										1	1	0
4284	3阶稀有真元（未鉴定）				3									1	1	0
4285	4阶稀有真元（未鉴定）					3								1	1	0
4286	5阶稀有真元（未鉴定）						3							1	1	0
4287	6阶稀有真元（未鉴定）							3						1	1	0
4462	元气瓶（小）		50	50	50	50	50	50	50	50	50	50	50	1	1	1
4816	元气瓶（中）		40	40	40	40	40	40	40	40	40	40	40	1	1	1
4817	元气瓶（大）		20	20	20	20	20	20	20	20	20	20	20	1	1	1
6153	真气丹（大）				20	20	20	20	20	20	20	20	20	1	1	1
2424	门派信物		100	100	100	100	100	100	100	100	100	100	100	1	1	1
2527	马牌			60		60		60						1	1	1
3554	秦始皇（SSS)						1	1	1	1	1	1	1	1	1	0
4056	完颜洪烈(SSS)							1	1	1	1	1	1	1	1	0
3553	项羽（SSS）								1	1	1	1	1	1	1	0
3555	武则天（SSS)									1	1	1	1	1	1	0
3462	赤金驭天绳碎片				20	20	20	20	20	20	20	20	20	1	1	1
3476	赤金驭天蹬碎片				20	20	20	20	20	20	20	20	20	1	1	1
3469	赤金驭天鞍碎片				20	20	20	20	20	20	20	20	20	1	1	1
3179	SS同伴任选箱				1	1	1	1	1	1	0	0	0	1	1	0
3693	SS本命武器任选箱				1	1	1	1	1	1	1	1	1	1	1	0
3701	S本命武器任选箱		2	2	1	1	1	1	1	1	1	1	1	1	1	0
8526	SS门客随主机壳						1	1	1	1	1	1	1	1	1	0
8525	S门客随主机壳							2	2	2	2	2	2	1	1	0
9406	普通秘本随主机壳							3	3	3	3	3	3	1	1	0
9407	高级秘本随主机壳							3	3	3	3	3	3	1	1	0
9404	普通断篇随主机壳							3	3	3	3	3	3	1	1	0
9405	高级断篇随主机壳							3	3	3	3	3	3	1	1	0
1430	武林秘笈·上卷	3	10											1	1	1
1431	武林秘笈·中卷													1	1	1
1432	武林秘笈·下卷													1	1	1
2396	高级修为书		10	10		0	0							1	1	1
4873	初级魂石·宋秋石					0.5	0	0	0	0	0	0	0	1	1	1
4874	初级魂石·古嫣然					0.5	0	0	0	0	0	0	0	1	1	1
3709	初级魂石·年兽		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2824	初级魂石·玄天武机				0.5	0	0	0	0	0	0	0	0	1	1	1
2825	初级魂石·白起				0.5	0	0	0	0	0	0	0	0	1	1	1
2826	初级魂石·李斯				0.5	0	0	0	0	0	0	0	0	1	1	1
2696	初级魂石·完颜洪烈		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2528	初级魂石·杨瑛		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2529	初级魂石·清晓师太		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
2530	初级魂石·祝子虚		0.5	0.5	0.5	0	0	0	0	0	0	0	0	1	1	1
