szItemType	nItemId	nProb	nCount
PartnerCard	12	1500	1
PartnerCard	13	1500	1
PartnerCard	14	1500	1
PartnerCard	15	1500	1
PartnerCard	18	1500	1
PartnerCard	19	1500	1
PartnerCard	20	1500	1
PartnerCard	21	1500	1
PartnerCard	22	1500	1
PartnerCard	23	1500	1
PartnerCard	24	3031	1
PartnerCard	25	3031	1
PartnerCard	26	3031	1
PartnerCard	27	3031	1
PartnerCard	28	3031	1
PartnerCard	29	3031	1
PartnerCard	30	3031	1
PartnerCard	39	3031	1
PartnerCard	40	3031	1
PartnerCard	41	3031	1
PartnerCard	42	3030	1
PartnerCard	43	3030	1
PartnerCard	44	3030	1
PartnerCard	45	3030	1
PartnerCard	46	3030	1
PartnerCard	47	3030	1
PartnerCard	48	3030	1
PartnerCard	49	3030	1
PartnerCard	50	3030	1
PartnerCard	51	3030	1
PartnerCard	52	3030	1
PartnerCard	53	3030	1
PartnerCard	54	3030	1
PartnerCard	55	3030	1
PartnerCard	56	3030	1
PartnerCard	57	3030	1
PartnerCard	58	3030	1
PartnerCard	59	3030	1
PartnerCard	60	3030	1
PartnerCard	61	3030	1
PartnerCard	62	3030	1
PartnerCard	63	3030	1
PartnerCard	64	3030	1
PartnerCard	66	4839	1
PartnerCard	67	4839	1
PartnerCard	68	4839	1
PartnerCard	69	4839	1
PartnerCard	70	4839	1
PartnerCard	71	4839	1
PartnerCard	72	4839	1
PartnerCard	73	4839	1
PartnerCard	80	4839	1
PartnerCard	81	4839	1
PartnerCard	82	4839	1
PartnerCard	83	4839	1
PartnerCard	84	4839	1
PartnerCard	85	4839	1
PartnerCard	86	4839	1
PartnerCard	87	4839	1
PartnerCard	88	4839	1
PartnerCard	89	4839	1
PartnerCard	90	4839	1
PartnerCard	91	4839	1
PartnerCard	92	4839	1
PartnerCard	93	4839	1
PartnerCard	94	4838	1
PartnerCard	95	4838	1
PartnerCard	96	4838	1
PartnerCard	97	4838	1
PartnerCard	98	4838	1
PartnerCard	99	4838	1
PartnerCard	100	4838	1
PartnerCard	101	4838	1
PartnerCard	102	4838	1
item	8359	250000	10
item	1968	240000	2
item	1969	245000	1
