NpcType	ChatID	Faction	Sex	ActionEvent
-1	1	1	1	10016
-1	1	2	2	10017
-1	1	3	2	10018
-1	1	4	1	10019
-1	1	5	1	10019
-1	1	5	2	10017
-1	1	6	2	10017
-1	1	7	1	10016
-1	1	8	2	10017
-1	1	9	1	10019
-1	1	10	1	10016
-1	1	10	2	10017
-1	1	11	1	10016
-1	1	12	2	10018
-1	1	13	1	10019
-1	1	14	2	10017
-1	1	15	1	10019
-1	1	15	2	10017
-1	1	16	1	10016
-1	1	16	2	10018
-1	1	17	1	10019
-1	1	17	2	10017
-1	2	1	1	10020
-1	2	2	2	10020
-1	2	3	2	10020
-1	2	4	1	10020
-1	2	5	1	10020
-1	2	5	2	10020
-1	2	6	2	10020
-1	2	7	1	10020
-1	2	8	2	10020
-1	2	9	1	10020
-1	2	10	1	10020
-1	2	10	2	10020
-1	2	11	1	10020
-1	2	12	2	10020
-1	2	13	1	10020
-1	2	14	2	10020
-1	2	15	1	10020
-1	2	15	2	10020
-1	2	16	1	10020
-1	2	16	2	10020
-1	2	17	1	10020
-1	2	17	2	10020
