nId	szName	szSmallIcon	szIcon	szBigIcon	szWordIcon	szSelectIcon	szSelectIcon2	szBackground1	szBackground2	szShareBgTextureM	szShareBgTextureF	StatueNpc	nJumpSkillId1	nJumpSkillId2	nJumpSkillId3	nJumpSkillId4	nJumpSkillId5	nJumpSkillId6	nJumpSkillId7	nJumpSkillId8	nJumpSkillId9	nJumpSkillId10
1	天王	Faction_TW	faction_hammer	FactionIcon_Tianwang02	Faction_Tianwang	FactionSelect_TW	FactionSelect_TW	FactionSelectBg_TW_M.jpg	FactionSelectBg_TW_M.jpg	ShareBg_Tianwang.jpg	ShareBg_Tianwang.jpg	1	7	11	1019	1023	1027					1045
2	峨嵋	Faction_EM	FactionSword	FactionIcon_Emei02	Faction_Emei	FactionSelect_EM	FactionSelect_EM	FactionSelectBg_EM_F.jpg	FactionSelectBg_EM_F.jpg	ShareBg_Emei.jpg	ShareBg_Emei.jpg	2	8	12	1020	1024	1028					1046
3	桃花	Faction_TH	FactionBow	FactionIcon_Taohua02	Faction_Taohua	FactionSelect_TH	FactionSelect_TH	FactionSelectBg_TH_F.jpg	FactionSelectBg_TH_F.jpg	ShareBg_Taohua.jpg	ShareBg_Taohua.jpg	3	9	13	1021	1025	1029					1047
4	逍遥	Faction_XY	FactionLancer	FactionIcon_Xiaoyao02	Faction_Xiaoyao	FactionSelect_XY	FactionSelect_XY	FactionSelectBg_XY_M.jpg	FactionSelectBg_XY_M.jpg	ShareBg_Xiaoyao.jpg	ShareBg_Xiaoyao.jpg	4	10	14	1022	1026	1030					1048
5	武当	Faction_WD	FactionWudang	FactionIcon_Wudang02	Faction_Wudang	FactionSelect_WD	FactionSelect_WD	FactionSelectBg_WD_M.jpg	FactionSelectBg_WD_F.jpg	ShareBg_Wudang_M.jpg	ShareBg_Wudang_F.jpg	5	1033	1034	1035	1036	1037					1049
6	天忍	Faction_TR	FactionTianren	FactionIcon_Tianren02	Faction_Tianren	FactionSelect_TR	FactionSelect_TR	FactionSelectBg_TR_F.jpg	FactionSelectBg_TR_F.jpg	ShareBg_Tianren.jpg	ShareBg_Tianren.jpg	6	1039	1040	1041	1042	1043					1050
7	少林	Faction_SL	FactionShaolin	FactionIcon_Shaolin02	Faction_Shaolin	FactionSelect_SL	FactionSelect_SL	FactionSelectBg_SL_M.jpg	FactionSelectBg_SL_M.jpg	ShareBg_Shaolin.jpg	ShareBg_Shaolin.jpg	1	1067	1068	1069	1070	1071					1073
8	翠烟	Faction_CY	FactionCuiyan	FactionIcon_Cuiyan02	Faction_Cuiyan	FactionSelect_CY	FactionSelect_CY	FactionSelectBg_CY_F.jpg	FactionSelectBg_CY_F.jpg	ShareBg_Cuiyan.jpg	ShareBg_Cuiyan.jpg	2	1075	1076	1077	1078	1079					1081
9	唐门	Faction_TM	FactionTangmen	FactionIcon_Tangmen02	Faction_Tangmen	FactionSelect_TM	FactionSelect_TM	FactionSelectBg_TM_M.jpg	FactionSelectBg_TM_M.jpg	ShareBg_Tangmen.jpg	ShareBg_Tangmen.jpg	3	3427	3428	3429	3430	3431					3433
10	昆仑	Faction_KL	FactionKunlun	FactionIcon_Kunlun02	Faction_Kunlun	FactionSelect_KL	FactionSelect_KL	FactionSelectBg_KL_M.jpg	FactionSelectBg_KL_F.jpg	ShareBg_Kunlun_M.jpg	ShareBg_Kunlun_F.jpg	4	3435	3436	3437	3438	3439					3441
11	丐帮	Faction_GB	FactionGaibang	FactionIcon_Gaibang02	Faction_Gaibang	FactionSelect_GB	FactionSelect_GB	FactionSelectBg_GB_M.jpg	FactionSelectBg_GB_M.jpg	ShareBg_Gaibang.jpg	ShareBg_Gaibang.jpg	3	3461	3462	3463	3464	3465					3467
12	五毒	Faction_WDU	FactionWudu	FactionIcon_Wudu02	Faction_Wudu	FactionSelect_WDu	FactionSelect_Wdu	FactionSelectBg_WDu_F.jpg	FactionSelectBg_WDu_F.jpg	ShareBg_Wudu.jpg	ShareBg_Wudu.jpg	4	3469	3470	3471	3472	3473					3475
13	藏剑	Faction_CJ	FactionCangJian	FactionIcon_Cangjian02	Faction_Cangjian	FactionSelect_CJ	FactionSelect_CJ	FactionSelectBg_CJ_M.jpg	FactionSelectBg_CJ_M.jpg	ShareBg_Cangjian.jpg	ShareBg_Cangjian.jpg	3	3524	3525	3526	3527	3528					3530
14	长歌	Faction_CG	FactionChangGe	FactionIcon_Changge02	Faction_Changge	FactionSelect_CG	FactionSelect_CG	FactionSelectBg_CG_F.jpg	FactionSelectBg_CG_F.jpg	ShareBg_Changge.jpg	ShareBg_Changge.jpg	4	3532	3533	3534	3535	3536					3538
15	天山	Faction_TS	FactionTianShan	FactionIcon_Tianshan02	Faction_Tianshan	FactionSelect_TS	FactionSelect_TS	FactionSelectBg_TS_M.jpg	FactionSelectBg_TS_F.jpg	ShareBg_Tianshan_M.jpg	ShareBg_Tianshan_F.jpg	2	1075	1076	1077	1078	1079					1081
16	霸刀	Faction_BD	FactionBaDao	FactionIcon_Badao02	Faction_Badao	FactionSelect_BD	FactionSelect_BD	FactionSelectBg_BD_M.jpg	FactionSelectBg_BD_F.jpg	ShareBg_Badao_M.jpg	ShareBg_Badao_F.jpg	1	7	11	1019	1023	1027					1045
17	华山	Faction_HS	FactionHuaShan	FactionIcon_Huashan02	Faction_Huashan	FactionSelect_HS	FactionSelect_HS	FactionSelectBg_HS_M.jpg	FactionSelectBg_HS_F.jpg	ShareBg_Huashan_M.jpg	ShareBg_Huashan_F.jpg	5	1033	1034	1035	1036	1037					1049
