szKey	szId	szGirlId	nTimesType	nReset	nTimes	nItemSend	nItemAccept	nImityLevel	nSure	szSureTip	szUseTip	nVip	nAddImitity	nNotSendMail	nNotConsume
XinDeBook	2900;2901;2902;2903;2904;2905;3691;3724;3702;3703;3704;3705;3706;3707;3708;3725;6098;6099;6993;6994;7497;7498;8320;8321;9785;9790		1	1	3										
LevelUpItem	3565		2			1	1	15	1	该道具每个角色[FFFE0D]只能进行一次赠送[-]，对方侠士也仅能接受一次馈赠，是否确定赠送？		6			
WaiYiGift	2667;2706;3310;4448;4449;4450;4451;4452;4453;4454;4455;4456;4457;4458;4459;6204;6205;4509;4512;4516;4515;4519;4511;4514;4746;4747;4748;4749;4750;4751;4752;4753;4754;4755;4756;4757;6206;6207;4508;4510;4513;4517;4518;5410;5969;5970;5971;5972;5973;5974;5975;5976;5977;5978;5979;5980;5981;5982;6344;6345;6346;6347;6348;6349;6350;6351;6352;6353;6354;6355;6356;6357;6872;6292;6293;6294;6295;6296;6297;6298;6299;6300;6301;6302;6303;6304;6305;6306;6307;6308;6309;6310;6311;6312;6313;6314;6315;6316;6317;6318;6319;6320;6321;6322;6323;6324;6325;6326;6327;6328;6329;6330;6331;6332;6333;6334;6335;6336;6337;6338;6339;6340;6341;6342;6343;6651;6652;6653;6654;6540;6541;6542;6543;6544;6545;6546;6547;6548;6549;6550;6551;6552;6655;4326;4327;4328;4329;4330;4331;4332;4333;4334;4335;4336;4337;4338;4339;4340;4341;4342;4343;4344;4345;4346;4347;4348;4349;4350;4351;4352;4353;4354;4355;4356;4357;4358;4359;4360;4361;4362;4363;4364;4365;4366;4367;4368;4369;5259;5260;5261;5262;5263;5264;5265;5266;6656;6657;6658;6659;4370;4371;4372;4373;4374;4375;4376;4377;4378;4379;4380;5267;5268;6660;4773;4774;4775;4776;4777;4778;4779;4780;4781;4782;4783;5863;5864;5865;5866;5867;5868;5869;5870;5871;5872;5873;5874;5875;5876;5877;5878;5879;5880;5881;5882;5883;5884;5885;5886;5887;5888;5889;5890;5891;5892;5893;5894;5895;5896;5897;5898;5899;5900;5901;5902;5903;5904;5905;5906;5907;5908;5909;5910;5911;5912;5913;5914;6661;6662;6663;6664;6724;6725;6726;6727;6728;6729;6730;6731;6732;6733;6734;6735;6736;6737;5915;5916;5917;5918;5919;5920;5921;5922;5923;5924;5925;5926;5927;5928;5929;5930;5931;5932;5933;5934;5935;5936;5937;5938;5939;5940;5941;5942;5943;5944;5945;5946;5947;5948;5949;5950;5951;5952;5953;5954;5955;5956;5957;5958;5959;5960;5961;5962;5963;5964;5965;5966;6554;6555;6556;6557;6558;6559;6560;6561;6562;6563;6564;6565;6566;6567;6568;6569;6570;6571;6572;6573;6574;6575;6576;6577;6578;6579;6580;6581;6582;6583;6584;6585;6586;6587;6588;6589;6590;6591;6592;6593;6594;6595;6596;6597;6598;6599;6600;6601;6602;6603;6604;7278;6605;6606;6607;6608;6609;6610;6611;6612;6613;6998;7003;7011;7016;7021;7026;7031;7036;7040;6874;6873;6987;7294;7295;7297;7318;7310;7311;7677;7678;7679;8523;8524;8527;9473;9779		3						1	是否确定赠送？		10			
WaiYiGiftBox	6020;6021;6358;6867;6868;7068;7069;7160;7344;7384;7385;7495;4587;7673;7291;8521;9472;9492;9493		3						1	是否确定赠送？	该物品可赠送给好友，若打开了只能自己使用而无法继续赠送，确定自己使用吗？	10			
FestivalGiftBox	7350		2	1		10	5	10	1	该物品每个角色每天只能收[FFFE0D]5个[-]，是否确认赠送？					
2018SpringMarch_piece1	7619		3						1	是否确定赠送？					
2018SpringMarch_piece2	7620		3						1	是否确定赠送？					
2018April_piece1	7671		3						1	是否确定赠送？					
GoodVoice	7746;7747;7748;7749;7727		3					20	1	是否确定赠送？	该物品可赠送给好友，若打开了只能自己使用而无法继续赠送，确定自己使用吗？				
61toubu	7954		3						1	是否确定赠送？					
Incompleteticket	8396;8397;8398		2	1		1	1	10	1	是否确定赠送？		6			
GMItem	9420;9421;9422;9423;9424;9425		3						1	是否确定赠送？					
ZhongqiuTouxiang	6445		3				1		1	是否确定赠送？					
zhaoqinling	9795		3						1	是否确定赠送？					
shengdianling	9850;9851;9852;9853;9854		2	1		3	3	15	1	是否确定赠送？		6			
