GuideId	SaveId	CheckAchievement	FightLimit	StartCheck	Param	FinishTask	Desc	Level
1	1			CheckLevel	4		主介面技能	4级
2	2			CheckLevel	5		主介面登入领奖	5级
4	4			CheckLevel	8		主介面福利	8级-签到
3	3			CheckLevel	9		主介面同伴	9级
5	5			CheckLevel	10		主介面好友	10级
6	6			CheckLevel	11		主介面帮派	11级
7	7			CheckGuide	6		主介面拍卖	11级
8	8			CheckLevel	13		主介面活动	13级-帮派烤火
9	9			CheckLevel	14		主介面商城	14级
10	10			CheckLevel	15		主介面变强	15级
11	11			CheckLevel	19		主介面排行榜	17级
12	12			CheckLevel	18		主介面头衔	18级
13	13			CheckLevel	20		主介面摆摊	20级
42	42			EnterMap	SkillGuide|1		技能引导	
43	43			EnterMap	SkillGuide|2		技能引导	
44	44			EnterMap	SkillGuide|3		技能引导	
45	45			EnterMap	SkillGuide|4		技能引导	
48	48						外装背包使用引导	
49	49						打开外装收藏柜引导	
50	50						外装选择颜色引导	
51	51						玩具箱介面引导	
