ShowType	Name	Faction	Sex	ResId	IconId	BigIconId	Desc	Desc2
21	【星玥】万象更新	1			4803	4803		
21	【星玥】如颖随行	2			4804	4804		
21	【星玥】如颖随行	3			4804	4804		
21	【星玥】万象更新	4			4803	4803		
21	【星玥】万象更新	5			4803	4803		
21	【星玥】如颖随行	6			4804	4804		
21	【星玥】万象更新	7			4803	4803		
21	【星玥】如颖随行	8			4804	4804		
21	【星玥】万象更新	9			4803	4803		
21	【星玥】如颖随行	10			4804	4804		
21	【星玥】万象更新	11			4803	4803		
21	【星玥】如颖随行	12			4804	4804		
21	【星玥】万象更新	13			4803	4803		
21	【星玥】如颖随行	14			4804	4804		
21	【星玥】万象更新	15	1		4803	4803		
21	【星玥】如颖随行	15	2		4804	4804		
22	丝路流纱衣服染色谱	1|7|10|11|16	1		66942	66942		
22	丝路流纱衣服染色谱	2|5|6|8|10|14|15|17	2		66944	66944		
22	丝路流纱衣服染色谱	3|12|16	2		66943	66943		
22	丝路流纱衣服染色谱	4|5|9|13|15|17	1		66941	66941		
23	丝路流纱头饰染色谱	1|7|10|11|16	1		66946	66946		
23	丝路流纱头饰染色谱	2|5|6|8|10|14|15|17	2		66948	66948		
23	丝路流纱头饰染色谱	3|12|16	2		66947	66947		
23	丝路流纱头饰染色谱	4|5|9|13|15|17	1		66945	66945		
24	【傲血丹青】外装宝箱	1|7|10|11|16	1		3696	3696		
24	【青灯曳影】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
24	【青玉云歌】外装宝箱	3|12|16	2		3696	3696		
24	【千叶森罗】外装宝箱	4|5|9|13|15|17	1		3696	3696		
25	【铁血龙胆】外装宝箱	1|7|10|11|16	1		3696	3696		
25	【牡丹望月】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
25	【樱落长空】外装宝箱	3|12|16	2		3696	3696		
25	【君子如风】外装宝箱	4|5|9|13|15|17	1		3696	3696		
26	【八方云动】外装宝箱	1|7|10|11|16	1		3696	3696		
26	【傲寒诉雪】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
26	【墨芷幽兰】外装宝箱	3|12|16	2		3696	3696		
26	【白玉琅环】外装宝箱	4|5|9|13|15|17	1		3696	3696		
27	【玄甲铁骑】外装宝箱	1|7|10|11|16	1		3696	3696		
27	【雨落尘殇】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
27	【伽蓝听雨】外装宝箱	3|12|16	2		3696	3696		
27	【墨语无尘】外装宝箱	4|5|9|13|15|17	1		3696	3696		
28	【狂客】外装宝箱	1|7|10|11|16	1		3696	3696		
28	【狷者】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
28	【魅灵】外装宝箱	3|12|16	2		3696	3696		
28	【邪侠】外装宝箱	4|5|9|13|15|17	1		3696	3696		
29	【青竹觅影】外装宝箱	1|7|10|11|16	1		3696	3696		
29	【落花映雪】外装宝箱	2|5|6|8|10|14|15|17	2		3696	3696		
29	【落花映雪】外装宝箱	3|12|16	2		3696	3696		
29	【青竹觅影】外装宝箱	4|5|9|13|15|17	1		3696	3696		
