SrcItem	TarItem	CosumeItem1	ConsumeCount1	CosumeItem2	ConsumeCount2	CosumeItemBAK1	ConsumeCountBAK1	CosumeItemBAK2	ConsumeCountBAK2	TimeFrame	DESC
106	2764	2794	1	2804	220						T6黄金武器
166	2782	2795	1	2804	112						T6黄金衣服
156	2779	2796	1	2804	54						T6黄金帽子
186	2788	2797	1	2804	54						T6黄金腰带
176	2785	2798	1	2804	54						T6黄金护腕
196	2791	2799	1	2804	54						T6黄金鞋子
116	2767	2800	1	2804	78						T6黄金项链
126	2770	2801	1	2804	78						T6黄金戒指
136	2773	2802	1	2804	78						T6黄金玉佩
146	2776	2803	1	2804	78						T6黄金护身符
2400	3012	2527	120							OpenLevel79	坐骑
107	2765	2794	1	2804	300						T7黄金武器
167	2783	2795	1	2804	150						T7黄金衣服
157	2780	2796	1	2804	70						T7黄金帽子
187	2789	2797	1	2804	70						T7黄金腰带
177	2786	2798	1	2804	70						T7黄金护腕
197	2792	2799	1	2804	70						T7黄金鞋子
117	2768	2800	1	2804	100						T7黄金项链
127	2771	2801	1	2804	100						T7黄金戒指
137	2774	2802	1	2804	100						T7黄金玉佩
147	2777	2803	1	2804	100						T7黄金护身符
108	2766	2794	1	2804	430						T8黄金武器
168	2784	2795	1	2804	200						T8黄金衣服
158	2781	2796	1	2804	90						T8黄金帽子
188	2790	2797	1	2804	90						T8黄金腰带
178	2787	2798	1	2804	90						T8黄金护腕
198	2793	2799	1	2804	90						T8黄金鞋子
118	2769	2800	1	2804	150						T8黄金项链
128	2772	2801	1	2804	150						T8黄金戒指
138	2775	2802	1	2804	150						T8黄金玉佩
148	2778	2803	1	2804	150						T8黄金护身符
3012	3598	2527	180							OpenLevel99	坐骑
109	3619	2794	1	2804	550						T9黄金武器
169	3631	2795	1	2804	280						T9黄金衣服
159	3629	2796	1	2804	120						T9黄金帽子
189	3635	2797	1	2804	120						T9黄金腰带
179	3633	2798	1	2804	120						T9黄金护腕
199	3637	2799	1	2804	120						T9黄金鞋子
119	3621	2800	1	2804	190						T9黄金项链
129	3623	2801	1	2804	190						T9黄金戒指
139	3625	2802	1	2804	190						T9黄金玉佩
149	3627	2803	1	2804	190						T9黄金护身符
110	3620	2794	1	2804	660						T10黄金武器
170	3632	2795	1	2804	350						T10黄金衣服
160	3630	2796	1	2804	150						T10黄金帽子
190	3636	2797	1	2804	150						T10黄金腰带
180	3634	2798	1	2804	150						T10黄金护腕
200	3638	2799	1	2804	150						T10黄金鞋子
120	3622	2800	1	2804	220						T10黄金项链
130	3624	2801	1	2804	220						T10黄金戒指
140	3626	2802	1	2804	220						T10黄金玉佩
150	3628	2803	1	2804	220						T10黄金护身符
3598	4046	2527	240							OpenLevel119	110级坐骑
5001	5360	2794	1	2804	750						T11黄金武器
5061	5390	2795	1	2804	380						T11黄金衣服
5051	5385	2796	1	2804	170						T11黄金帽子
5081	5400	2797	1	2804	170						T11黄金腰带
5071	5395	2798	1	2804	170						T11黄金护腕
5091	5405	2799	1	2804	170						T11黄金鞋子
5011	5365	2800	1	2804	260						T11黄金项链
5021	5370	2801	1	2804	260						T11黄金戒指
5031	5375	2802	1	2804	260						T11黄金玉佩
5041	5380	2803	1	2804	260						T11黄金护身符
5002	5361	2794	1	2804	880						T12黄金武器
5062	5391	2795	1	2804	460						T12黄金衣服
5052	5386	2796	1	2804	220						T12黄金帽子
5082	5401	2797	1	2804	220						T12黄金腰带
5072	5396	2798	1	2804	220						T12黄金护腕
5092	5406	2799	1	2804	220						T12黄金鞋子
5012	5366	2800	1	2804	340						T12黄金项链
5022	5371	2801	1	2804	340						T12黄金戒指
5032	5376	2802	1	2804	340						T12黄金玉佩
5042	5381	2803	1	2804	340						T12黄金护身符
4046	4051	2527	300							OpenLevel139	130级坐骑
5003	5362	2794	1	2804	1050						T13黄金武器
5063	5392	2795	1	2804	590						T13黄金衣服
5053	5387	2796	1	2804	330						T13黄金帽子
5083	5402	2797	1	2804	330						T13黄金腰带
5073	5397	2798	1	2804	330						T13黄金护腕
5093	5407	2799	1	2804	330						T13黄金鞋子
5013	5367	2800	1	2804	460						T13黄金项链
5023	5372	2801	1	2804	460						T13黄金戒指
5033	5377	2802	1	2804	460						T13黄金玉佩
5043	5382	2803	1	2804	460						T13黄金护身符
5004	5363	2794	1	2804	1500						T14黄金武器
5064	5393	2795	1	2804	720						T14黄金衣服
5054	5388	2796	1	2804	540						T14黄金帽子
5084	5403	2797	1	2804	540						T14黄金腰带
5074	5398	2798	1	2804	540						T14黄金护腕
5094	5408	2799	1	2804	540						T14黄金鞋子
5014	5368	2800	1	2804	680						T14黄金项链
5024	5373	2801	1	2804	680						T14黄金戒指
5034	5378	2802	1	2804	680						T14黄金玉佩
5044	5383	2803	1	2804	680						T14黄金护身符
3415	3416	3461	8								2阶缰绳
3417	3418	3468	8								2阶马鞍
3419	3420	3475	8								2阶脚蹬
3416	3445	3462	16								3阶缰绳
3418	3450	3469	16								3阶马鞍
3420	3455	3476	16								3阶脚蹬
3445	3446	3462	20			3445	1			OpenLevel109	4阶缰绳
3450	3451	3469	20			3450	1			OpenLevel109	4阶马鞍
3455	3456	3476	20			3455	1			OpenLevel109	4阶脚蹬
3446	3447	3462	30							OpenLevel129	5阶缰绳
3451	3452	3469	30							OpenLevel129	5阶马鞍
3456	3457	3476	30							OpenLevel129	5阶脚蹬
3447	3448	3462	30							OpenLevel149	6阶缰绳
3452	3453	3469	30							OpenLevel149	6阶马鞍
3457	3458	3476	30							OpenLevel149	6阶脚蹬
