SrcItem	TarItem	CosumeItem	DESC	TimeFrame1	ConsumeCount1	TimeFrame2	ConsumeCount2	TimeFrame3	ConsumeCount3	TimeFrame4	ConsumeCount4	TimeFrame5	ConsumeCount5	TimeFrame6	ConsumeCount6	TimeFrame7	ConsumeCount7	TimeFrame8	ConsumeCount8	TimeFrame9	ConsumeCount9	TimeFrame10	ConsumeCount10
2764	2765	2804	T6升T7黄金武器	OpenLevel89	110	OpenLevel99	110	OpenLevel109	100	OpenLevel119	100	OpenLevel129	100	OpenLevel139	100	OpenLevel149	100	OpenLevel159	100	OpenLevel169	100		
2782	2783	2804	T6升T7黄金衣服	OpenLevel89	74	OpenLevel99	74	OpenLevel109	64	OpenLevel119	64	OpenLevel129	64	OpenLevel139	64	OpenLevel149	64	OpenLevel159	64	OpenLevel169	64		
2779	2780	2804	T6升T7黄金帽子	OpenLevel89	38	OpenLevel99	38	OpenLevel109	30	OpenLevel119	30	OpenLevel129	30	OpenLevel139	30	OpenLevel149	30	OpenLevel159	30	OpenLevel169	30		
2788	2789	2804	T6升T7黄金腰带	OpenLevel89	38	OpenLevel99	38	OpenLevel109	30	OpenLevel119	30	OpenLevel129	30	OpenLevel139	30	OpenLevel149	30	OpenLevel159	30	OpenLevel169	30		
2785	2786	2804	T6升T7黄金护腕	OpenLevel89	38	OpenLevel99	38	OpenLevel109	30	OpenLevel119	30	OpenLevel129	30	OpenLevel139	30	OpenLevel149	30	OpenLevel159	30	OpenLevel169	30		
2791	2792	2804	T6升T7黄金鞋子	OpenLevel89	38	OpenLevel99	38	OpenLevel109	30	OpenLevel119	30	OpenLevel129	30	OpenLevel139	30	OpenLevel149	30	OpenLevel159	30	OpenLevel169	30		
2767	2768	2804	T6升T7黄金项链	OpenLevel89	56	OpenLevel99	56	OpenLevel109	50	OpenLevel119	50	OpenLevel129	50	OpenLevel139	50	OpenLevel149	50	OpenLevel159	50	OpenLevel169	50		
2770	2771	2804	T6升T7黄金戒指	OpenLevel89	56	OpenLevel99	56	OpenLevel109	50	OpenLevel119	50	OpenLevel129	50	OpenLevel139	50	OpenLevel149	50	OpenLevel159	50	OpenLevel169	50		
2773	2774	2804	T6升T7黄金玉佩	OpenLevel89	56	OpenLevel99	56	OpenLevel109	50	OpenLevel119	50	OpenLevel129	50	OpenLevel139	50	OpenLevel149	50	OpenLevel159	50	OpenLevel169	50		
2776	2777	2804	T6升T7黄金护身符	OpenLevel89	56	OpenLevel99	56	OpenLevel109	50	OpenLevel119	50	OpenLevel129	50	OpenLevel139	50	OpenLevel149	50	OpenLevel159	50	OpenLevel169	50		
