SuitIndex	ItemId	
1	2764	T6黄金武器
1	2779	T6黄金帽子
1	2782	T6黄金衣服
1	2788	T6黄金腰带
1	2767	T6黄金项链
1	2773	T6黄金玉佩
1	2765	T7黄金武器
1	2780	T7黄金帽子
1	2783	T7黄金衣服
1	2789	T7黄金腰带
1	2768	T7黄金项链
1	2774	T7黄金玉佩
1	2766	T8黄金武器
1	2781	T8黄金帽子
1	2784	T8黄金衣服
1	2790	T8黄金腰带
1	2769	T8黄金项链
1	2775	T8黄金玉佩
1	3619	T9黄金武器
1	3629	T9黄金帽子
1	3631	T9黄金衣服
1	3635	T9黄金腰带
1	3621	T9黄金项链
1	3625	T9黄金玉佩
1	3620	T10黄金武器
1	3630	T10黄金帽子
1	3632	T10黄金衣服
1	3636	T10黄金腰带
1	3622	T10黄金项链
1	3626	T10黄金玉佩
1	5360	T11黄金武器
1	5390	T11黄金帽子
1	5385	T11黄金衣服
1	5400	T11黄金腰带
1	5365	T11黄金项链
1	5375	T11黄金玉佩
1	5361	T12黄金武器
1	5391	T12黄金帽子
1	5386	T12黄金衣服
1	5401	T12黄金腰带
1	5366	T12黄金项链
1	5376	T12黄金玉佩
3	5362	T13黄金武器
3	5363	T14黄金武器
3	5364	T15黄金武器
3	5387	T13黄金帽子
3	5388	T14黄金帽子
3	5389	T15黄金帽子
3	5392	T13黄金衣服
3	5393	T14黄金衣服
3	5394	T15黄金衣服
3	5402	T13黄金腰带
3	5403	T14黄金腰带
3	5404	T15黄金腰带
3	5367	T13黄金项链
3	5368	T14黄金项链
3	5369	T15黄金项链
3	5377	T13黄金玉佩
3	5378	T14黄金玉佩
3	5379	T15黄金玉佩
2	2770	T6黄金戒指
2	2771	T7黄金戒指
2	2772	T8黄金戒指
2	3623	T9黄金戒指
2	3624	T10黄金戒指
2	5370	T11黄金戒指
2	5371	T12黄金戒指
2	5372	T13黄金戒指
2	5373	T14黄金戒指
2	5374	T15黄金戒指
2	2785	T6黄金护腕
2	2786	T7黄金护腕
2	2787	T8黄金护腕
2	3633	T9黄金护腕
2	3634	T10黄金护腕
2	5395	T11黄金护腕
2	5396	T12黄金护腕
2	5397	T13黄金护腕
2	5398	T14黄金护腕
2	5399	T15黄金护腕
2	2791	T6黄金鞋子
2	2792	T7黄金鞋子
2	2793	T8黄金鞋子
2	3637	T9黄金鞋子
2	3638	T10黄金鞋子
2	5405	T11黄金鞋子
2	5406	T12黄金鞋子
2	5407	T13黄金鞋子
2	5408	T14黄金鞋子
2	5409	T15黄金鞋子
2	2776	T6黄金护符
2	2777	T7黄金护符
2	2778	T8黄金护符
2	3627	T9黄金护符
2	3628	T10黄金护符
2	5380	T11黄金护符
2	5381	T12黄金护符
2	5382	T13黄金护符
2	5383	T14黄金护符
2	5384	T15黄金护符
