EffectID	FactionID	LightResID	LightFemaleResID
1	1	101	
1	2	201	
1	3	301	
1	4	401	
1	5	501	
1	6	601	
1	7	701	
1	8	801	
1	9	901	
1	10	1001	
1	11	1101	
1	12	1201	
1	13	1301	
1	14	1401	
1	15	1501	
1	16	1601	1651
1	17	1701	
2	1	102	
2	2	202	
2	3	302	
2	4	402	
2	5	502	
2	6	602	
2	7	702	
2	8	802	
2	9	902	
2	10	1002	
2	11	1102	
2	12	1202	
2	13	1302	
2	14	1402	
2	15	1502	
2	16	1602	1652
2	17	1702	
3	1	103	
3	2	203	
3	3	303	
3	4	403	
3	5	503	
3	6	603	
3	7	703	
3	8	803	
3	9	903	
3	10	1003	
3	11	1103	
3	12	1203	
3	13	1303	
3	14	1403	
3	15	1503	
3	16	1603	1653
3	17	1703	
4	1	104	
4	2	204	
4	3	304	
4	4	404	
4	5	504	
4	6	604	
4	7	704	
4	8	804	
4	9	904	
4	10	1004	
4	11	1104	
4	12	1204	
4	13	1304	
4	14	1404	
4	15	1504	
4	16	1604	1654
4	17	1704	
5	1	105	
5	2	205	
5	3	305	
5	4	405	
5	5	505	
5	6	605	
5	7	705	
5	8	805	
5	9	905	
5	10	1005	
5	11	1105	
5	12	1205	
5	13	1305	
5	14	1405	
5	15	1505	
5	16	1605	1655
5	17	1705	
