TemplateId	Name	Kind	ItemType	Icon	BigIcon	CDType	ClassName	DetailType	Intro	ItemValue	Level	ObjID	Price	Quality	RequireLevel	Sellable	Stack	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10
8314	《击壤歌》	GuestFriendItem_1	35	8314	8314		PartnerCardGift	1	日出而作，日入而息。凿井而饮，耕田而食。帝利于我何有哉！\n\n——[FFFE0D]后羿[-]喜爱之物	1800	1	1	100	4	1	0	999										
8322	《荆轲歌》	GuestFriendItem_2	35	8314	8314		PartnerCardGift	1	风萧萧兮易水寒，\n壮士一去兮不复还。\n探虎穴兮入蛟宫，\n仰天呼气兮成白虹。\n\n——[FFFE0D]荆轲[-]喜爱之物	1800	1	1	100	4	1	0	999										
8323	《垓下歌》	GuestFriendItem_3	35	8314	8314		PartnerCardGift	1	力拔山兮气盖世。\n时不利兮骓不逝。\n骓不逝兮可奈何！\n虞兮虞兮奈若何！——[FFFE0D]项羽/虞姬[-]喜爱之物	1800	1	1	100	4	1	0	999										
8324	《北方有佳人》	GuestFriendItem_4	35	8314	8314		PartnerCardGift	1	由来称独立，本自号倾城。\n柳叶眉间发，桃花脸上生。\n腕摇金钏响，步转玉环鸣。\n纤腰宜宝袜，红衫艳织成。\n悬知一顾重，别觉舞腰轻。\n\n——[FFFE0D]苏妲己[-]喜爱之物	1800	1	1	100	4	1	0	999										
8325	《田家元日》	GuestFriendItem_5	35	8314	8314		PartnerCardGift	1	昨夜斗回北，今朝岁起东。\n我年已强仕，无禄尚忧农。\n桑野就耕父，荷锄随牧童。\n田家占气候，共说此年丰。\n\n——[FFFE0D]李广[-]喜爱之物	1800	1	1	100	4	1	0	999										
8326	《元日》	GuestFriendItem_6	35	8314	8314		PartnerCardGift	1	爆竹声中一岁除，\n春风送暖入屠苏。\n千门万户曈曈日，\n总把新桃换旧符。\n\n——[FFFE0D]天星道长[-]喜爱之物	1800	1	1	100	4	1	0	999										
8327	《相思》	GuestFriendItem_7	35	8314	8314		PartnerCardGift	1	红豆生南国，春来发几枝。\n愿君多采撷，此物最相思。\n\n——[FFFE0D]张风[-]喜爱之物	1800	1	1	100	4	1	0	999										
8328	《野望》	GuestFriendItem_8	35	8314	8314		PartnerCardGift	1	东皋薄暮望，徙倚欲何依。\n树树皆秋色，山山唯落晖。\n牧人驱犊返，猎马带禽归。\n相顾无相识，长歌怀采薇。\n\n——[FFFE0D]燕若雪[-]喜爱之物	1800	1	1	100	4	1	0	999										
8329	《风雨》	GuestFriendItem_9	35	8314	8314		PartnerCardGift	1	凄凉宝剑篇，羁泊欲穷年。\n黄叶仍风雨，青楼自管弦。\n新知遭薄俗，旧好隔良缘。\n心断新丰酒，销愁斗几千。\n\n——[FFFE0D]杨影枫[-]喜爱之物	1800	1	1	100	4	1	0	999										
8330	《归嵩山作》	GuestFriendItem_10	35	8314	8314		PartnerCardGift	1	清川带长薄，车马去闲闲。\n流水如有意，暮禽相与还。\n荒城临古渡，落日满秋山。\n迢递嵩高下，归来且闭关。\n\n——[FFFE0D]鬼谷子[-]喜爱之物	1800	1	1	100	4	1	0	999										
8331	《兵车行（残卷）》	GuestFriendItem_11	35	8314	8314		PartnerCardGift	1	车辚辚，马萧萧，\n行人弓箭各在腰。\n耶娘妻子走相送，\n尘埃不见咸阳桥。\n\n——[FFFE0D]赵云[-]喜爱之物	1800	1	1	100	4	1	0	999										
8332	《西施咏（残卷）》	GuestFriendItem_12	35	8314	8314		PartnerCardGift	1	艳色天下重，西施宁久微。\n朝为越溪女，暮作吴宫妃。\n\n——[FFFE0D]西施[-]喜爱之物	1800	1	1	100	4	1	0	999										
8479	《关雎》	GuestFriendItem_45	35	8314	8314		PartnerCardGift	1	关关雎鸠，在河之洲。\n窈窕淑女，君子好逑。\n参差荇菜，左右流之。\n窈窕淑女，寤寐求之。\n\n——[FFFE0D]杨瑛[-]喜爱之物	1800	1	1	100	4	1	0	999										
8480	《木瓜》	GuestFriendItem_46	35	8314	8314		PartnerCardGift	1	投我以木瓜，报之以琼琚。\n匪报也，永以为好也！\n\n——[FFFE0D]祝子虚[-]喜爱之物	1800	1	1	100	4	1	0	999										
8482	《清明》	GuestFriendItem_47	35	8314	8314		PartnerCardGift	1	清明时节雨纷纷，\n路上行人欲断魂。\n借问酒家何处有，\n牧童遥指杏花村。\n\n——[FFFE0D]黄暮云[-]喜爱之物	1800	1	1	100	4	1	0	999										
8483	《清明夜》	GuestFriendItem_49	35	8314	8314		PartnerCardGift	1	好风胧月清明夜，\n碧砌红轩刺史家。\n独绕回廊行复歇，\n遥听弦管暗看花。\n\n——[FFFE0D]道一真人[-]喜爱之物	1800	1	1	100	4	1	0	999										
8484	《问刘十九》	GuestFriendItem_50	35	8314	8314		PartnerCardGift	1	绿蚁新醅酒，红泥小火炉。\n晚来天欲雪，能饮一杯无？\n\n——[FFFE0D]端木睿[-]喜爱之物	1800	1	1	100	4	1	0	999										
8486	《江南曲》	GuestFriendItem_52	35	8314	8314		PartnerCardGift	1	嫁得瞿塘贾，朝朝误妾期。\n早知潮有信，嫁与弄潮儿。\n\n——[FFFE0D]尹含烟[-]喜爱之物	1800	1	1	100	4	1	0	999										
8488	《汉江临泛(残卷）》	GuestFriendItem_54	35	8314	8314		PartnerCardGift	1	楚塞三湘接，荆门九派通。\n江流天地外，山色有无中。\n\n——[FFFE0D]璿玑子[-]喜爱之物	1800	1	1	100	4	1	0	999										
8489	《马嵬坡》	GuestFriendItem_55	35	8314	8314		PartnerCardGift	1	玄宗回马杨妃死，\n云雨难忘日月新。\n终是圣明天子事，\n景阳宫井又何人。\n\n——[FFFE0D]何人我[-]喜爱之物	1800	1	1	100	4	1	0	999										
8490	《桃花溪》	GuestFriendItem_56	35	8314	8314		PartnerCardGift	1	隐隐飞桥隔野烟，\n石矶西畔问渔船。\n桃花尽日随流水，\n洞在清溪何处边。\n\n——[FFFE0D]唐仇[-]喜爱之物	1800	1	1	100	4	1	0	999										
8333	《百骏图》	GuestFriendItem_13	35	8333	8333		PartnerCardGift	1	此图描绘了姿态各异的骏马百匹放牧游息的场面。全卷色彩浓丽，构图复杂，风格独特，别具意趣。\n\n——[FFFE0D]完颜洪烈[-]喜爱之物	1800	1	1	100	4	1	0	999										
8334	《秋山晚翠图》	GuestFriendItem_14	35	8333	8333		PartnerCardGift	1	此图由近景至远景，安排了山路、小桥、瀑布、水流，最后让观者的视线休憩于隐匿於右上的庙塔中。\n\n——[FFFE0D]唐简[-]喜爱之物	1800	1	1	100	4	1	0	999										
8335	《晴峦萧寺图》	GuestFriendItem_15	35	8333	8333		PartnerCardGift	1	本幅以直幅形式画冬日山谷景色，画中群峰兀立，瀑布飞泻而下，中景山丘上建有寺塔楼阁，山麓水滨筑以水榭、茅舍、板桥、间有行旅人物活动。\n\n——[FFFE0D]上官飞龙[-]喜爱之物	1800	1	1	100	4	1	0	999										
8336	《花容玉貌图》	GuestFriendItem_16	35	8333	8333		PartnerCardGift	1	本画体现了一种费丹旭式的半工半写法，仕女形象则清丽娇柔，风雅脱俗。\n\n——[FFFE0D]武则天[-]喜爱之物	1800	1	1	100	4	1	0	999										
8337	《笼袖骄民图》	GuestFriendItem_17	35	8333	8333		PartnerCardGift	1	此图为四幅绢拼成之大幅， 以重着色画江南郊野风光， 山峦圆浑峻厚， 江水宽广纤回，人物皆以重彩绘染，在山水画中穿插了风俗情节。\n\n——[FFFE0D]方勉[-]喜爱之物	1800	1	1	100	4	1	0	999										
8338	《霹雳雷霆斩》	GuestFriendItem_18	35	8338	8338		PartnerCardGift	1	传自北境的一套剑法，号称“必杀之剑”，出如闪电，声如雷霆。\n\n——[FFFE0D]南宫飞云[-]喜爱之物	1800	1	1	100	4	1	0	999										
8339	《越女剑法》	GuestFriendItem_19	35	8338	8338		PartnerCardGift	1	战国时期流传下来的剑法，清丽飘逸，似剑似舞。\n\n——[FFFE0D]秦良玉[-]喜爱之物	1800	1	1	100	4	1	0	999										
8340	《黑铁剑法》	GuestFriendItem_20	35	8338	8338		PartnerCardGift	1	相处为一武器匠所创，适合重剑使用，乃提气运劲之法门。\n\n——[FFFE0D]袁承志[-]喜爱之物	1800	1	1	100	4	1	0	999										
