ParamId	DefaultRandomId	Desc0	TimeFrame1	RandomId1	Desc1	TimeFrame2	RandomId2	Desc2	TimeFrame3	RandomId3	Desc3	TimeFrame4	RandomId4	Desc4	TimeFrame5	RandomId5	Desc5	TimeFrame6	RandomId6	Desc6	TimeFrame7	RandomId7	Desc7	TimeFrame8	RandomId8	Desc8	TimeFrame9	RandomId9	Desc9	TimeFrame10	RandomId10	Desc10	Desc
1	3106		OpenLevel69	3106		OpenLevel79	3107		OpenLevel89	3108		OpenLevel99	3109		OpenLevel109	31090		OpenLevel119	31091		OpenLevel129	31092											未鉴定的卷轴（大号）
2	3110		OpenLevel69	3110		OpenLevel79	3111		OpenLevel89	3112		OpenLevel99	3113		OpenLevel109	31130		OpenLevel119	31131		OpenLevel129	31132											未鉴定的卷轴（小号）
3	22300		OpenLevel49	22301		OpenDay52	22302		OpenDay128	22303		OpenLevel109	22304																				SS级本命武器
4	22305		OpenDay7	22306		OpenDay35	22307		OpenDay116	22308																							S级本命武器
5	2897	使用后必然获得[FFFE0D]白水晶*12、黄金招募令*1、80元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备、随机2级魂石或随机1级魂石[-]。	OpenLevel59	28970	使用后必然获得[FFFE0D]白水晶*16、黄金招募令*1、80元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel69	28971	使用后必然获得[FFFE0D]绿水晶*8、洗髓丹*1、80元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]名将令、5阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel79	28972	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、80元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel89	28973	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel99	28974	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel109	28975	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]帝皇令、9阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel119	28976	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、藏宝图*2、2000银两[-]。同时有机率获得额外赠送的[FFFE0D]帝皇令、10阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel129	28977	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、2000银两、藏宝图*2[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、11阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel139	28978	使用后必然获得[FFFE0D]绿水晶*10、黄金宝箱*1、100元宝、2000银两、藏宝图*2[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、12阶稀有装备、随机4级魂石、随机3级魂石或随机2级魂石[-]。	OpenLevel149	28979	使用后必然获得[FFFE0D]蓝水晶*3、100元宝、2000银两、古旧的阵法残卷*1[-]。同时有几率获得额外赠送的[FFFE0D]和氏璧、随机4级魂石或赤金驭天坐骑装备碎片[-]。	白银超值礼包（新马）
6	2898	使用后必然获得[FFFE0D]白水晶*18、随机1级魂石*1、洗髓丹*2、160元宝、500贡献[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备、随机2级魂石或随机1级魂石[-]。	OpenLevel59	28980	使用后必然获得[FFFE0D]白水晶*20、随机2级魂石*1、洗髓丹*2、160元宝、500贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel69	28981	使用后必然获得[FFFE0D]绿水晶*12、随机2级魂石*1、元气瓶*1、160元宝、初级修为书*3[-]。同时有机率获得额外赠送的[FFFE0D]名将令、5阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel79	28982	使用后必然获得[FFFE0D]绿水晶*16、元气瓶*1、160元宝、门派信物*1、未鉴定的卷轴*1[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel89	28983	使用后必然获得[FFFE0D]绿水晶*18、元气瓶*1、160元宝、门派信物*1、未鉴定的卷轴*1[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel99	28984	使用后必然获得[FFFE0D]绿水晶*18、元气瓶*1、160元宝、门派信物*1、未鉴定的卷轴*1[-]。同时有机率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel109	28985	使用后必然获得[FFFE0D]绿水晶*18、元气瓶*1、160元宝、洗髓丹*2、10000银两[-]。同时有机率获得额外赠送的[FFFE0D]帝皇令、9阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel119	28986	使用后必然获得[FFFE0D]绿水晶*18、元气瓶*1、160元宝、1000贡献、10000银两[-]。同时有机率获得额外赠送的[FFFE0D]帝皇令、10阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel129	28987	使用后必然获得[FFFE0D]绿水晶*18、元气瓶（小）*1、160元宝、1000贡献、10000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、11阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel139	28988	使用后必然获得[FFFE0D]绿水晶*18、元气瓶（小）*1、160元宝、1000贡献、10000银两[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、12阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel149	28989	使用后必然获得[FFFE0D]蓝水晶*5、元气瓶（小）*1、160元宝、未鉴定的卷轴*1、10000银两[-]。同时有几率获得额外赠送的[FFFE0D]和氏璧、帝皇令或赤金驭天坐骑装备碎片[-]。	黄金超值礼包（新马）
7	2899	使用后必然获得[FFFE0D]随机2级魂石*1、220元宝、资质丹*1、黄金宝箱*5、800贡献[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备或随机2级魂石[-]。	OpenLevel59	28990	使用后必然获得[FFFE0D]随机2级魂石*1、220元宝、资质丹*2、黄金宝箱*5、1000贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备或随机3级魂石[-]。	OpenLevel69	28991	使用后必然获得[FFFE0D]元气瓶*1、绿水晶*20、220元宝、黄金宝箱*5、1500贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、5阶稀有装备或随机3级魂石[-]。	OpenLevel79	28992	使用后必然获得[FFFE0D]蓝水晶*8、元气瓶*1、320元宝、黄金宝箱*5、2000贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、1000真气或随机3级魂石[-]。	OpenLevel89	28993	使用后必然获得[FFFE0D]蓝水晶*8、元气瓶*1、320元宝、黄金宝箱*5、门派信物*2、2000贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、1000真气或随机4级魂石[-]。	OpenLevel99	28994	使用后必然获得[FFFE0D]紫水晶*2、元气瓶*2、320元宝、门派信物*2、资质丹*2、2000贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、1000真气或随机4级魂石[-]。	OpenLevel109	28995	使用后必然获得[FFFE0D]紫水晶*2、元气瓶*2、320元宝、未鉴定的卷轴*2、黄金宝箱*5、2000贡献[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel119	28996	使用后必然获得[FFFE0D]紫水晶*2、元气瓶*2、320元宝、未鉴定的卷轴*2、黄金宝箱*5、2500贡献[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel129	28997	使用后必然获得[FFFE0D]元气瓶（小）*2、紫水晶*2、2500贡献、320元宝、未鉴定的卷轴*2、黄金宝箱*5[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel139	28998	使用后必然获得[FFFE0D]元气瓶（小）*2、紫水晶*2、2500贡献、320元宝、未鉴定的卷轴*2、黄金宝箱*5[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel149	28999	使用后必然获得[FFFE0D]元气瓶（小）*2、紫水晶*2、2500贡献、320元宝、未鉴定的卷轴*2、精致阵法古籍*1[-]。同时有几率获得额外赠送的[FFFE0D]1000真气、帝皇令、赤金驭天坐骑装备碎片或稀有八荒之灵[-]。	钻石超值礼包（新马）
8	25180	使用后必然获得[FFFE0D]白水晶*6、随机1级魂石*1、洗髓丹*1、30元宝、200贡献[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备、随机2级魂石或随机1级魂石[-]。	OpenLevel59	25181	使用后必然获得[FFFE0D]白水晶*6、随机1级魂石*1、洗髓丹*1、30元宝、200贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel69	25182	使用后必然获得[FFFE0D]绿水晶*2、元气瓶（小）*1、30元宝、200贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、5阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel79	25183	使用后必然获得[FFFE0D]蓝水晶*1、元气瓶（小）*1、30元宝、200贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、随机3级魂石或随机2级魂石[-]。	OpenLevel89	25184	使用后必然获得[FFFE0D]蓝水晶*1、元气瓶（小）*1、30元宝、300贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel99	25185	使用后必然获得[FFFE0D]蓝水晶*1、元气瓶（小）*1、30元宝、300贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel109	25186	使用后必然获得[FFFE0D]蓝水晶*1、元气瓶（小）*1、50元宝、300贡献[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、9阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel119	25187	使用后必然获得[FFFE0D]蓝水晶*1、元气瓶（小）*1、50元宝、300贡献[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、10阶稀有装备、随机4级魂石或随机3级魂石[-]。	OpenLevel129	25188	使用后必然获得[FFFE0D]元气瓶（小）*1、蓝水晶*1、50元宝和未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、帝皇令或赤金驭天坐骑装备碎片[-]。	OpenLevel139	25189	使用后必然获得[FFFE0D]元气瓶（小）*1、蓝水晶*1、50元宝和未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、帝皇令或赤金驭天坐骑装备碎片[-]。	OpenLevel149	251810	使用后必然获得[FFFE0D]元气瓶（小）*1、蓝水晶*1、50元宝和未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]和氏璧、帝皇令或赤金驭天坐骑装备碎片[-]。	3元超值礼包（版本）
9	25190	使用后必然获得[FFFE0D]随机2级魂石*1、60元宝、500贡献[-]。同时有机率获得额外赠送的[FFFE0D]盟主令、3阶稀有装备或随机2级魂石[-]。	OpenLevel59	25191	使用后必然获得[FFFE0D]随机2级魂石*1、60元宝、500贡献[-]。同时有机率获得额外赠送的[FFFE0D]名将令、4阶稀有装备或随机3级魂石[-]。	OpenLevel69	25192	使用后必然获得[FFFE0D]元气瓶（小）*1、60元宝、500贡献、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]名将令、5阶稀有装备或随机3级魂石[-]。	OpenLevel79	25193	使用后必然获得[FFFE0D]元气瓶（小）*1、未鉴定的卷轴*1、60元宝、500贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、6阶稀有装备、1000真气或随机3级魂石[-]。	OpenLevel89	25194	使用后必然获得[FFFE0D]元气瓶（小）*1、未鉴定的卷轴*1、60元宝、500贡献[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、7阶稀有装备、1000真气或随机4级魂石[-]。	OpenLevel99	25195	使用后必然获得[FFFE0D]元气瓶（小）*1、600贡献、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]逐鹿令、8阶稀有装备、1000真气或随机4级魂石[-]。	OpenLevel109	25196	使用后必然获得[FFFE0D]元气瓶（小）*1、1000贡献、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel119	25197	使用后必然获得[FFFE0D]元气瓶（小）*1、1000贡献、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]帝皇令、和氏璧、赤金驭天坐骑装备碎片、1000真气或随机4级魂石[-]。	OpenLevel129	25198	使用后必然获得[FFFE0D]元气瓶（小）*1、精致阵法古籍*1、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]1000真气、帝皇令、赤金驭天坐骑装备碎片或稀有七星之灵[-]。	OpenLevel139	25199	使用后必然获得[FFFE0D]元气瓶（小）*1、精致阵法古籍*1、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]1000真气、帝皇令、赤金驭天坐骑装备碎片或稀有八荒之灵[-]。	OpenLevel149	251910	使用后必然获得[FFFE0D]元气瓶（小）*1、精致阵法古籍*1、60元宝、未鉴定的卷轴*1[-]。同时有概率获得额外赠送的[FFFE0D]1000真气、帝皇令、赤金驭天坐骑装备碎片或稀有八荒之灵[-]。	6元超值礼包（版本）
10	22164		OpenLevel59	22165		OpenLevel69	22166		OpenLevel79	22167		OpenLevel89	22168		OpenLevel99	22169																	3级魂石箱
