UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
2398	秘笈·野蛮冲撞	60	OpenLevel69	100	10	2398	2	2424	200
2401	秘笈·血战八方	65	OpenLevel69	100	10	2401	2	2424	200
2719	秘笈·金钟罩	70	OpenLevel69	100	10	2719	2	2424	200
2402	秘笈·霸王怒吼	75	OpenLevel69	100	10	2402	2	2424	200
2720	秘笈·江海凝波	60	OpenLevel69	100	10	2720	2	2424	200
2403	秘笈·天舞宝轮	65	OpenLevel69	100	10	2403	2	2424	200
2404	秘笈·慈航普渡	70	OpenLevel69	100	10	2404	2	2424	200
2405	秘笈·白露凝霜	75	OpenLevel69	100	10	2405	2	2424	200
2409	秘笈·飞火流星	60	OpenLevel69	100	10	2409	2	2424	200
2722	秘笈·九耀连珠	65	OpenLevel69	100	10	2722	2	2424	200
2410	秘笈·火凤燎原	70	OpenLevel69	100	10	2410	2	2424	200
2411	秘笈·穿云破月	75	OpenLevel69	100	10	2411	2	2424	200
2721	秘笈·白虹贯日	60	OpenLevel69	100	10	2721	2	2424	200
2406	秘笈·七探蛇盘	65	OpenLevel69	100	10	2406	2	2424	200
2407	秘笈·斗转星移	70	OpenLevel69	100	10	2407	2	2424	200
2408	秘笈·风卷残云	75	OpenLevel69	100	10	2408	2	2424	200
2412	秘笈·无我无剑	60	OpenLevel69	100	10	2412	2	2424	200
2414	秘笈·天地无极	65	OpenLevel69	100	10	2414	2	2424	200
2413	秘笈·坐忘无我	70	OpenLevel69	100	10	2413	2	2424	200
2723	秘笈·人剑合一	75	OpenLevel69	100	10	2723	2	2424	200
2724	秘笈·死亡回旋	60	OpenLevel69	100	10	2724	2	2424	200
2415	秘笈·魔焰在天	65	OpenLevel69	100	10	2415	2	2424	200
2416	秘笈·血月之影	70	OpenLevel69	100	10	2416	2	2424	200
2417	秘笈·摄魂乱心	75	OpenLevel69	100	10	2417	2	2424	200
2713	秘笈·降龙棍	60	OpenLevel69	100	10	2713	2	2424	200
2714	秘笈·大力金刚指	65	OpenLevel69	100	10	2714	2	2424	200
2715	秘笈·金刚伏魔	70	OpenLevel69	100	10	2715	2	2424	200
2749	秘笈·十二擒龙手	75	OpenLevel69	100	10	2749	2	2424	200
2716	秘笈·璿玑罗舞	60	OpenLevel69	100	10	2716	2	2424	200
2717	秘笈·雨打梨花	65	OpenLevel69	100	10	2717	2	2424	200
2718	秘笈·召唤啵啵	70	OpenLevel69	100	10	2718	2	2424	200
2750	秘笈·冰踪无影	75	OpenLevel69	100	10	2750	2	2424	200
3267	秘笈·缠身刺	60	OpenLevel69	100	10	3267	2	2424	200
3268	秘笈·暴雨梨花	65	OpenLevel69	100	10	3268	2	2424	200
