Type	Faction	SkillBookID	DESC
1	1	2398	秘笈·野蛮冲撞
2	1	2401	秘笈·血战八方
3	1	2719	秘笈·金钟罩
4	1	2402	秘笈·霸王怒吼
1	2	2720	秘笈·江海凝波
2	2	2403	秘笈·天舞宝轮
3	2	2404	秘笈·慈航普渡
4	2	2405	秘笈·白露凝霜
1	3	2409	秘笈·飞火流星
2	3	2722	秘笈·九耀连珠
3	3	2410	秘笈·火凤燎原
4	3	2411	秘笈·穿云破月
1	4	2721	秘笈·白虹贯日
2	4	2406	秘笈·七探蛇盘
3	4	2407	秘笈·斗转星移
4	4	2408	秘笈·风卷残云
1	5	2412	秘笈·无我无剑
2	5	2414	秘笈·天地无极
3	5	2413	秘笈·坐忘无我
4	5	2723	秘笈·人剑合一
1	6	2724	秘笈·死亡回旋
2	6	2415	秘笈·魔焰在天
3	6	2416	秘笈·血月之影
4	6	2417	秘笈·摄魂乱心
1	7	2713	秘笈·降龙棍
2	7	2714	秘笈·大力金刚指
3	7	2715	秘笈·金刚伏魔
4	7	2749	秘笈·十二擒龙手
1	8	2716	秘笈·璿玑罗舞
2	8	2717	秘笈·雨打梨花
3	8	2718	秘笈·召唤啵啵
4	8	2750	秘笈·冰踪无影
1	9	3267	秘笈·缠身刺
2	9	3268	秘笈·暴雨梨花
3	9	3269	秘笈·迷影纵
4	9	3270	秘笈·九宫飞星
1	10	3271	秘笈·仙人指路
2	10	3272	秘笈·啸风三连击
3	10	3273	秘笈·混沌剑阵
4	10	3274	秘笈·雷动九天
1	11	4021	秘笈·亢龙有悔
2	11	4022	秘笈·困龙功
3	11	4023	秘笈·醉蝶狂舞
4	11	4024	秘笈·龙战於野
1	12	4025	秘笈·阴风蚀骨
2	12	4026	秘笈·召唤毒虫
3	12	4027	秘笈·迷心蛊
4	12	4028	秘笈·万蛊蚀心
1	13	5201	秘笈·断潮
2	13	5202	秘笈·心剑
3	13	5203	秘笈·玉泉鱼跃
4	13	5204	秘笈·峰插云景
1	14	5205	秘笈·平沙雁落
2	14	5206	秘笈·云生结海
3	14	5207	秘笈·清音长啸
4	14	5208	秘笈·江逐月天
1	15	6675	秘笈·飞燕淩波
2	15	6674	秘笈·银瓶玉碎
3	15	6676	秘笈·空山凝云
4	15	6677	秘笈·水龙吟
1	16	7520	初级秘笈·化血劫光
2	16	7521	初级秘笈·挟山超海
3	16	7522	初级秘笈·逆血截脉
4	16	7523	初级秘笈·浴血蹈锋
1	17	8445	初级秘笈·萧史乘龙
2	17	8446	初级秘笈·天绅倒悬
3	17	8447	初级秘笈·朝阳一气剑
4	17	8448	初级秘笈·风送紫霞
5	1	2725	中级秘笈·野蛮冲撞
6	1	2726	中级秘笈·血战八方
7	1	2728	中级秘笈·金钟罩
8	1	2727	中级秘笈·霸王怒吼
5	2	2732	中级秘笈·江海凝波
6	2	2729	中级秘笈·天舞宝轮
7	2	2730	中级秘笈·慈航普渡
8	2	2731	中级秘笈·白露凝霜
5	3	2737	中级秘笈·飞火流星
6	3	2740	中级秘笈·九耀连珠
7	3	2738	中级秘笈·火凤燎原
8	3	2739	中级秘笈·穿云破月
5	4	2736	中级秘笈·白虹贯日
6	4	2733	中级秘笈·七探蛇盘
7	4	2734	中级秘笈·斗转星移
8	4	2735	中级秘笈·风卷残云
5	5	2741	中级秘笈·无我无剑
6	5	2743	中级秘笈·天地无极
7	5	2742	中级秘笈·坐忘无我
8	5	2744	中级秘笈·人剑合一
5	6	2748	中级秘笈·死亡回旋
6	6	2745	中级秘笈·魔焰在天
7	6	2746	中级秘笈·血月之影
8	6	2747	中级秘笈·摄魂乱心
5	7	2751	中级秘笈·降龙棍
6	7	2752	中级秘笈·大力金刚指
7	7	2753	中级秘笈·金刚伏魔
8	7	2754	中级秘笈·十二擒龙手
5	8	2755	中级秘笈·璿玑罗舞
6	8	2756	中级秘笈·雨打梨花
7	8	2757	中级秘笈·召唤啵啵
8	8	2758	中级秘笈·冰踪无影
5	9	3275	中级秘笈·缠身刺
6	9	3276	中级秘笈·暴雨梨花
7	9	3277	中级秘笈·迷影纵
8	9	3278	中级秘笈·九宫飞星
5	10	3279	中级秘笈·仙人指路
6	10	3280	中级秘笈·啸风三连击
7	10	3281	中级秘笈·混沌剑阵
8	10	3282	中级秘笈·雷动九天
5	11	4029	中级秘笈·亢龙有悔
6	11	4030	中级秘笈·困龙功
7	11	4031	中级秘笈·醉蝶狂舞
8	11	4032	中级秘笈·龙战於野
5	12	4033	中级秘笈·阴风蚀骨
6	12	4034	中级秘笈·召唤毒虫
7	12	4035	中级秘笈·迷心蛊
8	12	4036	中级秘笈·万蛊蚀心
5	13	5209	中级秘笈·断潮
6	13	5210	中级秘笈·心剑
7	13	5211	中级秘笈·玉泉鱼跃
8	13	5212	中级秘笈·峰插云景
5	14	5213	中级秘笈·平沙雁落
6	14	5214	中级秘笈·云生结海
7	14	5215	中级秘笈·清音长啸
8	14	5216	中级秘笈·江逐月天
5	15	6678	中级秘笈·飞燕淩波
6	15	6679	中级秘笈·银瓶玉碎
7	15	6680	中级秘笈·空山凝云
8	15	6681	中级秘笈·水龙吟
5	16	7524	中级秘笈·化血劫光
6	16	7525	中级秘笈·挟山超海
7	16	7526	中级秘笈·逆血截脉
8	16	7527	中级秘笈·浴血蹈锋
5	17	8449	中级秘笈·萧史乘龙
6	17	8450	中级秘笈·天绅倒悬
7	17	8451	中级秘笈·朝阳一气剑
8	17	8452	中级秘笈·风送紫霞
9	1	3317	高级秘笈·野蛮冲撞
10	1	3318	高级秘笈·血战八方
11	1	3320	高级秘笈·金钟罩
12	1	3319	高级秘笈·霸王怒吼
9	2	3324	高级秘笈·江海凝波
10	2	3321	高级秘笈·天舞宝轮
11	2	3322	高级秘笈·慈航普渡
12	2	3323	高级秘笈·白露凝霜
9	3	3329	高级秘笈·飞火流星
10	3	3332	高级秘笈·九耀连珠
11	3	3330	高级秘笈·火凤燎原
12	3	3331	高级秘笈·穿云破月
9	4	3328	高级秘笈·白虹贯日
