ChangeId	Desc	Part	CharmExtern	ColorItem1	ConsumeItem1	ConsumeCount1	ColorItem2	ConsumeItem2	ConsumeCount2	ColorItem3	ConsumeItem3	ConsumeCount3	ColorItem4	ConsumeItem4	ConsumeCount4	ColorItem5	ConsumeItem5	ConsumeCount5	ColorItem6	ConsumeItem6	ConsumeCount6	ColorItem7	ConsumeItem7	ConsumeCount7	ColorItem8	ConsumeItem8	ConsumeCount8	NameFacionMale1	NameFacionFemale2	NameFacionFemale3	NameFacionMale4	NameFacionMale5	NameFacionFemale5	NameFacionFemale6	NameFacionMale7	NameFacionFemale8	NameFacionMale9	NameFacionMale10	NameFacionFemale10	NameFacionMale11	NameFacionFemale12	NameFacionMale13	NameFacionFemale14	NameFacionMale15	NameFacionFemale15	NameFacionMale16	NameFacionFemale16	NameFacionMale17	NameFacionFemale17
1	T1外装（斗笠）·限时	0	4	2516	2569	1																						外装：<傲血丹青>	外装：<青灯曳影>	外装：<青玉云歌>	外装：<千叶森罗>	外装：<千叶森罗>	外装：<青灯曳影>	外装：<青灯曳影>	外装：<傲血丹青>	外装：<青灯曳影>	外装：<千叶森罗>	外装：<傲血丹青>	外装：<青灯曳影>	外装：<傲血丹青>	外装：<青玉云歌>	外装：<千叶森罗>	外装：<青灯曳影>	外装：<千叶森罗>	外装：<青灯曳影>	外装：<傲血丹青>	外装：<青玉云歌>	外装：<千叶森罗>	外装：<青灯曳影>
2	T1外装（斗笠）	0	10	2512	2569	1	2513	2569	2	2514	2569	2	2515	2569	2	6829	2569	2										外装：<傲血丹青>系列	外装：<青灯曳影>系列	外装：<青玉云歌>系列	外装：<千叶森罗>系列	外装：<千叶森罗>系列	外装：<青灯曳影>系列	外装：<青灯曳影>系列	外装：<傲血丹青>系列	外装：<青灯曳影>系列	外装：<千叶森罗>系列	外装：<傲血丹青>系列	外装：<青灯曳影>系列	外装：<傲血丹青>系列	外装：<青玉云歌>系列	外装：<千叶森罗>系列	外装：<青灯曳影>系列	外装：<千叶森罗>系列	外装：<青灯曳影>系列	外装：<傲血丹青>系列	外装：<青玉云歌>系列	外装：<千叶森罗>系列	外装：<青灯曳影>系列
3	T2外装（花）	0	32	2702	2569	1	2703	2569	5	2704	2569	5	2705	2569	5	3025	2569	5	3026	2569	5	3027	2569	5	3028	2569	5	外装：<铁血龙胆>系列	外装：<牡丹望月>系列	外装：<樱落长空>系列	外装：<君子如风>系列	外装：<君子如风>系列	外装：<牡丹望月>系列	外装：<牡丹望月>系列	外装：<铁血龙胆>系列	外装：<牡丹望月>系列	外装：<君子如风>系列	外装：<铁血龙胆>系列	外装：<牡丹望月>系列	外装：<铁血龙胆>系列	外装：<樱落长空>系列	外装：<君子如风>系列	外装：<牡丹望月>系列	外装：<君子如风>系列	外装：<牡丹望月>系列	外装：<铁血龙胆>系列	外装：<樱落长空>系列	外装：<君子如风>系列	外装：<牡丹望月>系列
4	T3外装（新年大衣）	0	32	3259	2569	1	3260	2569	5	3261	2569	5	3262	2569	5	6830	2569	5										外装：<八方云动>系列	外装：<傲寒诉雪>系列	外装：<墨芷幽兰>系列	外装：<白玉琅环>系列	外装：<白玉琅环>系列	外装：<傲寒诉雪>系列	外装：<傲寒诉雪>系列	外装：<八方云动>系列	外装：<傲寒诉雪>系列	外装：<白玉琅环>系列	外装：<八方云动>系列	外装：<傲寒诉雪>系列	外装：<八方云动>系列	外装：<墨芷幽兰>系列	外装：<白玉琅环>系列	外装：<傲寒诉雪>系列	外装：<白玉琅环>系列	外装：<傲寒诉雪>系列	外装：<八方云动>系列	外装：<墨芷幽兰>系列	外装：<白玉琅环>系列	外装：<傲寒诉雪>系列
5	T4外装（八家将）	0	47	3263	2569	1	3264	2569	10	3265	2569	10	3266	2569	10													外装：<玄甲铁骑>系列	外装：<雨落尘殇>系列	外装：<伽蓝听雨>系列	外装：<墨语无尘>系列	外装：<墨语无尘>系列	外装：<雨落尘殇>系列	外装：<雨落尘殇>系列	外装：<玄甲铁骑>系列	外装：<雨落尘殇>系列	外装：<墨语无尘>系列	外装：<玄甲铁骑>系列	外装：<雨落尘殇>系列	外装：<玄甲铁骑>系列	外装：<伽蓝听雨>系列	外装：<墨语无尘>系列	外装：<雨落尘殇>系列	外装：<墨语无尘>系列	外装：<雨落尘殇>系列	外装：<玄甲铁骑>系列	外装：<伽蓝听雨>系列	外装：<墨语无尘>系列	外装：<雨落尘殇>系列
6	T4外装（八家将）艺趣·盛典华服（限时）	0	22	3568	2569	1																						外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>	外装：<艺趣·盛典华服>
7	T5外装（黑帮，港台）	0	47	3870	2569	1	3871	2569	10	3872	2569	10	3873	2569	10													外装：<狂客>系列	外装：<狷者>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<狷者>系列	外装：<邪侠>系列	外装：<狂客>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<邪侠>系列	外装：<狷者>系列	外装：<狂客>系列	外装：<魅灵>系列	外装：<邪侠>系列	外装：<狷者>系列
8	周年庆典华服·限时	0	7	4743	2569	1																						外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>
9	周年庆典华服	0	47	4892	2569	1																						外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>	外装：<周年庆典华服>
103	外装T2（花）·限时	0	4	4481	2569	1																						外装：<铁血龙胆>	外装：<牡丹望月>	外装：<樱落长空>	外装：<君子如风>	外装：<君子如风>	外装：<牡丹望月>	外装：<牡丹望月>	外装：<铁血龙胆>	外装：<牡丹望月>	外装：<君子如风>	外装：<铁血龙胆>	外装：<牡丹望月>	外装：<铁血龙胆>	外装：<樱落长空>	外装：<君子如风>	外装：<牡丹望月>	外装：<君子如风>	外装：<牡丹望月>	外装：<铁血龙胆>	外装：<樱落长空>	外装：<君子如风>	外装：<牡丹望月>
