nEventId	nTypeId	szTyepName	nTarget	nBaseGold	szAddGoldList	nCount	nAverageMin
1	1	储值次数	1	100	500_200_100	15	5
2	2	【剑侠V】等级	6	500	2500_1000_500	30	5
3	2	【剑侠V】等级	9	1500	7500_3000_1500	50	15
4	2	【剑侠V】等级	12	5000	25000_10000_5000	100	50
5	2	【剑侠V】等级	15	15000	75000_30000_15000	100	150
61	2	【剑侠V】等级	18	30000	150000_60000_30000	100	300
6	3	武神殿排名	100	100	500_200_100	10	5
7	3	武神殿排名	10	300	1500_600_300	30	5
8	3	武神殿排名	1	1000	5000_2000_1000	50	10
9	4	全身强化	20	100	500_200_100	15	5
10	4	全身强化	40	200	1000_400_200	20	5
11	4	全身强化	50	400	2000_800_400	30	5
12	4	全身强化	60	600	3000_1200_600	40	6
13	4	全身强化	70	1500	7500_3000_1500	50	15
14	4	全身强化	80	2000	10000_4000_2000	50	20
15	4	全身强化	90	5000	25000_10000_5000	100	50
16	4	全身强化	100	15000	75000_30000_15000	100	150
17	5	全身镶满	1	100	500_200_100	15	5
18	5	全身镶满	2	200	1000_400_200	20	5
19	5	全身镶满	3	400	2000_800_400	30	5
20	5	全身镶满	4	600	3000_1200_600	40	6
21	5	全身镶满	5	1500	7500_3000_1500	50	15
22	5	全身镶满	6	5000	25000_10000_5000	100	50
23	5	全身镶满	7	15000	75000_30000_15000	100	150
24	6	头衔	4	100	500_200_100	15	5
25	6	头衔	5	200	1000_400_200	20	5
26	6	头衔	6	400	2000_800_400	30	5
27	6	头衔	7	600	3000_1200_600	40	6
28	6	头衔	8	1200	6000_2400_1200	50	12
29	6	头衔	9	2000	10000_4000_2000	60	20
30	6	头衔	10	4000	20000_8000_4000	80	40
31	6	头衔	11	6000	30000_12000_6000	100	60
32	6	头衔	12	15000	75000_30000_15000	100	150
33	6	头衔	13	30000	150000_60000_30000	100	300
34	7	门派新人王		500	2500_1000_500	50	5
35	8	门派大师兄		2000	10000_4000_2000	100	20
36	9	白虎堂x层首领	4	200	1000_400_200	20	5
62	9	白虎堂x层首领	5	300	1500_600_300	20	5
37	10	战场排名	1	200	1000_400_200	20	5
63	34	跨服战场排名	1	300	1500_600_300	20	5
38	11	盟主排名	1	300	1500_600_300	20	5
39	12	通天塔层数	7	300	1500_600_300	20	5
64	12	通天塔层数	8	500	2500_1000_500	30	5
40	13	第一帮派堂主		10000	50000_30000_15000	100	100
41	14	十大帮派堂主		5000	25000_10000_5000	100	50
42	15	卓越帮派堂主		3000	15000_6000_3000	100	30
43	16	第一帮派总堂主		10000	50000_30000_15000	100	100
44	17	十大帮派总堂主		5000	25000_10000_5000	100	50
45	18	卓越帮派总堂主		3000	15000_6000_3000	100	30
46	19	金牌堂主		2000	10000_4000_2000	50	20
47	20	卓越堂主		1000	5000_2000_1000	40	10
48	21	优秀堂主		500	2500_1000_500	30	5
49	22	合格堂主		200	1000_400_200	20	5
50	23	金牌副堂主		1000	5000_2000_1000	50	10
51	24	卓越副堂主		500	2500_1000_500	40	5
52	25	优秀副堂主		200	1000_400_200	20	5
53	26	合格副堂主		100	500_200_100	15	5
54	27	金牌会长		500	2500_1000_500	50	5
55	28	卓越会长		200	1000_400_200	40	5
56	29	优秀会长		100	500_200_100	20	5
57	30	购买7日礼包		100	500_200_100	15	5
58	31	购买30日礼包		200	1000_400_200	30	5
59	32	购买一本万利		400	2000_800_400	30	5
60	33	购买一本万利·贰		400	2000_800_400	30	5
65	35	购买一本万利·三		400	2000_800_400	30	5
66	36	心魔幻境优胜		600	3000_1200_600	40	6
67	37	百人战场排名	1	600	3000_1200_600	30	6
68	38	购买一本万利（国庆）		400	2000_800_400	30	5
69	39	购买鷄年大吉礼包		1000	5000_2000_1000	50	10
70	40	购买恭喜发财礼包		600	3000_1200_600	40	6
71	41	购买迎夏快乐礼包		400	2000_800_400	30	5
72	42	购买普天同庆礼包		150	750_300_150	20	5
73	43	购买一本万利·肆		400	2000_800_400	30	5
74	44	购买一本万利·伍		400	2000_800_400	30	5
75	45	月度战场第一	1	2000	10000_4000_2000	100	20
76	46	群英会全胜	6	600	3000_1200_600	40	6
77	47	剑侠情缘周年庆		500	2500_1000_500	30	5
78	47	剑侠情缘周年庆		1000	5000_2000_1000	50	10
79	48	购买周年庆缘起礼包		1000	5000_2000_1000	50	10
80	49	购买周年庆情韵礼包		600	3000_1200_600	40	6
81	50	购买周年庆侠踪礼包		400	2000_800_400	30	5
82	51	购买周年庆剑影礼包		150	750_300_150	20	5
83	52	美女评选中获得海选赛第一		15000	75000_30000_15000	100	150
84	53	美女评选中获得海选赛前十		4000	20000_8000_4000	80	40
85	54	美女评选中海选赛获投199票	199	400	2000_800_400	30	5
86	55	美女评选中获得决赛第一		100000	500000_200000_100000	100	1000
87	56	美女评选海选赛第一（全服红包）		15000	75000_30000_15000	500	30
88	57	美女评选决赛前十（全服红包）		100000	500000_200000_100000	1000	100
89	58	美女评选决赛第一（全服红包）		200000	1000000_400000_200000	1000	200
90	59	美女评选中获得决赛前十		50000	250000_100000_50000	100	500
91	60	登上月度通天塔八层	8	2000	10000_4000_2000	100	20
92	61	购买每日礼包7日套包		300	1500_600_300	30	5
93	62	美女评选决赛获投8000	8000	15000	75000_30000_15000	100	150
94	63	美女评选决赛获投8000（全服红包）	8000	20000	100000_40000_20000	500	40
96	65	武林大会冠军		10000	50000_20000_10000	100	100
97	66	武林大会四强		5000	25000_10000_5000	100	50
98	67	武林大会十六强		3000	15000_6000_3000	80	30
99	68	武林大会组长		500	2500_1000_500	30	5
100	69	武林大会冠军（全服红包）		50000	250000_100000_50000	500	100
101	70	武林大会四强（全服红包）		10000	50000_20000_10000	200	50
102	71	购买盛夏骄阳礼包		1000	5000_2000_1000	50	20
103	72	购买盛夏苍翠礼包		600	3000_1200_600	40	15
104	73	购买盛夏莲碧礼包		400	2000_800_400	30	13
105	74	购买盛夏蝉鸣礼包		150	750_300_150	20	7
106	75	西域行商拍卖竞价超1千		500	2500_1000_500	50	10
107	76	西域行商拍卖竞价超2千		1000	5000_2000_1000	100	10
108	77	西域行商拍卖竞价超5千		2000	10000_4000_2000	200	10
109	78	西域行商拍卖竞价超1万		5000	25000_10000_5000	250	20
110	79	西域行商拍卖竞价超2万		10000	50000_20000_10000	300	30
111	80	西域行商拍卖竞价超5万		20000	100000_40000_20000	600	30
112	81	西域行商拍卖竞价超10万		50000	250000_100000_50000	1000	50
113	82	西域行商拍卖竞价超12万		60000	300000_120000_60000	1000	60
114	83	西域行商拍卖竞价超15万		80000	400000_160000_80000	1000	80
115	84	西域行商拍卖竞价超18万		90000	450000_180000_90000	1000	90
116	85	西域行商拍卖竞价超20万		100000	500000_200000_100000	1000	100
117	86	购买华山狂欢礼包		1000	5000_2000_1000	50	10
118	87	购买华山庆典礼包		600	3000_1200_600	40	6
119	88	购买华山焕新礼包		400	2000_800_400	30	5
120	89	购买华山喜庆礼包		150	750_300_150	20	5
121	90	举办庄园·晚樱连理婚礼	5	500	2500_1000_500	50	10
122	90	举办庄园·晚樱连理婚礼	6	500	2500_1000_500	50	10
123	90	举办庄园·晚樱连理婚礼	7	800	4000_1600_800	50	15
124	90	举办庄园·晚樱连理婚礼	8	800	4000_1600_800	50	15
125	90	举办庄园·晚樱连理婚礼	9	1000	5000_2000_1000	50	20
126	90	举办庄园·晚樱连理婚礼	10	1000	5000_2000_1000	50	20
127	90	举办庄园·晚樱连理婚礼	11	1000	5000_2000_1000	50	20
128	90	举办庄园·晚樱连理婚礼	12	1000	5000_2000_1000	50	20
129	90	举办庄园·晚樱连理婚礼	13	1000	5000_2000_1000	50	20
130	90	举办庄园·晚樱连理婚礼	14	1000	5000_2000_1000	50	20
131	90	举办庄园·晚樱连理婚礼	15	1000	5000_2000_1000	50	20
132	90	举办庄园·晚樱连理婚礼	16	1000	5000_2000_1000	50	20
133	90	举办庄园·晚樱连理婚礼	17	1000	5000_2000_1000	50	20
134	90	举办庄园·晚樱连理婚礼	18	1000	5000_2000_1000	50	20
135	91	举办海岛·红鸾揽月婚礼	9	2000	10000_4000_2000	50	40
136	91	举办海岛·红鸾揽月婚礼	10	3000	15000_6000_3000	100	30
137	91	举办海岛·红鸾揽月婚礼	11	3000	15000_6000_3000	100	30
138	91	举办海岛·红鸾揽月婚礼	12	5000	25000_10000_5000	100	50
139	91	举办海岛·红鸾揽月婚礼	13	5000	25000_10000_5000	100	50
140	91	举办海岛·红鸾揽月婚礼	14	5000	25000_10000_5000	100	50
141	91	举办海岛·红鸾揽月婚礼	15	5000	25000_10000_5000	100	50
142	91	举办海岛·红鸾揽月婚礼	16	5000	25000_10000_5000	100	50
143	91	举办海岛·红鸾揽月婚礼	17	5000	25000_10000_5000	100	50
144	91	举办海岛·红鸾揽月婚礼	18	5000	25000_10000_5000	100	50
145	92	举办舫舟·乘龙配凤婚礼	12	5000	25000_10000_5000	100	50
146	92	举办舫舟·乘龙配凤婚礼	13	8000	40000_16000_8000	100	80
147	92	举办舫舟·乘龙配凤婚礼	14	8000	40000_16000_8000	100	80
148	92	举办舫舟·乘龙配凤婚礼	15	8000	40000_16000_8000	100	80
149	92	举办舫舟·乘龙配凤婚礼	16	10000	50000_20000_10000	100	100
150	92	举办舫舟·乘龙配凤婚礼	17	10000	50000_20000_10000	100	100
151	92	举办舫舟·乘龙配凤婚礼	18	10000	50000_20000_10000	100	100
152	93	登上季度通天塔八层	8	5000	25000_10000_5000	100	50
153	94	月度心魔幻境优胜		2000	10000_4000_2000	100	20
154	95	季度心魔幻境优胜		5000	25000_10000_5000	100	50
155	96	结婚满半年		1000	5000_2000_1000	50	10
156	97	购买一本万利·陆		400	2000_800_400	30	5
157	98	购买一本万利·柒		400	2000_800_400	30	5
158	99	群英会排名	1	600	3000_1200_600	40	6
159	100	季度战场第一	1	4000	20000_8000_4000	100	40
160	101	年度战场第一（帮派）	1	6000	30000_12000_6000	100	60
161	102	年度战场第一（全服）	1	10000	50000_20000_10000	300	33
162	103	购买一本万利·捌		400	2000_800_400	30	5
163	104	购买7日礼包		200	1000_400_200	30	5
164	105	登上年度通天塔八层	8	8000	40000_16000_8000	100	80
165	106	好声音评选海选赛获投199票	199	400	2000_800_400	30	5
166	107	好声音评选获得海选赛前十		4000	20000_8000_4000	80	40
167	108	好声音评选获得海选赛第一		15000	75000_30000_15000	100	150
168	109	好声音评选复赛获投8000票	8000	5000	25000_10000_5000	100	50
169	110	好声音评选获得复赛区域前三		5000	25000_10000_5000	100	50
170	111	好声音评选获得复赛门派前三		5000	25000_10000_5000	100	50
171	112	好声音评选获得复赛区域冠军		10000	50000_20000_10000	100	100
172	113	好声音评选获得复赛门派冠军		10000	50000_20000_10000	100	100
173	114	好声音评选获得复赛冠军		20000	100000_40000_20000	100	100
174	115	好声音评选获得决赛前十		50000	250000_100000_50000	100	500
175	116	好声音评选获得决赛第一		100000	500000_200000_100000	100	1000
176	117	好声音评选获得海选赛第一（全服红包）		15000	75000_30000_15000	500	30
177	118	好声音评选复赛获投8000票（全服红包）	8000	10000	50000_20000_10000	300	33
178	119	好声音评选获得复赛区域前三（全服红包）		10000	50000_20000_10000	300	33
179	120	好声音评选获得复赛门派前三（全服红包）		10000	50000_20000_10000	300	33
180	121	好声音评选获得复赛区域冠军（全服红包）		20000	100000_40000_20000	500	40
181	122	好声音评选获得复赛门派冠军（全服红包）		20000	100000_40000_20000	500	40
182	123	好声音评选获得复赛冠军（全服红包）		40000	200000_80000_40000	500	80
183	124	好声音评选获得决赛前十（全服红包）		100000	500000_200000_100000	1000	100
184	125	好声音评选获得决赛第一（全服红包）		200000	1000000_400000_200000	1000	200
193	134	雄才伟略		5000	25000_10000_5000	100	50
194	135	古之名将不能及		3000	15000_6000_3000	100	30
195	136	料敌机先		3000	15000_6000_3000	100	30
196	137	万军从我塞上征		2000	10000_4000_2000	100	20
197	138	结婚满一年		2000	10000_4000_2000	100	20
