nId	szMark	szRecordFormat	szRelation	szRepeat	nGlobal
1	首次储值	首次储值	=		
2	vip等级	剑侠V%s	>=		
3	武神殿排名	武神殿%s	<=		
4	全身强化	全身强化+%s	>=		
5	全身镶满	镶嵌20个%s级魂石	>=		
6	头衔	「%s」头衔	=		
7	门派新人王	%s新人王			
8	门派大师兄	%s大师兄			
9	白虎堂x层首领	本周首次击杀白虎堂%s层首领	>=	weekly	
10	战场排名	本周首次获得宋金战场第一	<=	weekly	
34	跨服战场排名	本周首次获得跨服战场第一	<=	weekly	
11	盟主排名	本周首次获得武林盟主第一	<=	weekly	
12	通天塔层数	本周首次登上通天塔%s层	>=	weekly	
13	第一帮派堂主	第一帮派堂主			
14	十大帮派堂主	十大帮派堂主			
15	卓越帮派堂主	卓越帮派堂主			
16	第一帮派总堂主	第一帮派总堂主			
17	十大帮派总堂主	十大帮派总堂主			
18	卓越帮派总堂主	卓越帮派总堂主			
19	金牌堂主	金牌堂主	>=	weekly	
20	卓越堂主	卓越堂主	>=	weekly	
21	优秀堂主	优秀堂主	>=	weekly	
22	合格堂主	合格堂主	>=	weekly	
23	金牌副堂主	金牌副堂主	>=	weekly	
24	卓越副堂主	卓越副堂主	>=	weekly	
25	优秀副堂主	优秀副堂主	>=	weekly	
26	合格副堂主	合格副堂主	>=	weekly	
27	金牌会长	金牌会长	>=	weekly	
28	卓越会长	卓越会长	>=	weekly	
29	优秀会长	优秀会长	>=	weekly	
30	购买7日礼包	购买7日礼包		nolimit	
31	购买30日礼包	购买30日礼包		nolimit	
32	购买一本万利	购买一本万利		nolimit	
33	购买一本万利·贰	购买一本万利·贰		nolimit	
35	购买一本万利·三	购买一本万利·三		nolimit	
36	心魔幻境优胜	获得心魔幻境的优胜		nolimit	
37	百人战场排名	本周首次获得百人战场第一	<=	weekly	
38	购买一本万利（国庆）	购买一本万利（国庆）		nolimit	
39	新年礼包（99.99）	购买鷄年大吉礼包		nolimit	
40	新年礼包（99.99）	购买恭喜发财礼包		nolimit	
41	新年礼包（29.99）	购买迎夏快乐礼包		nolimit	
42	新年礼包（5.99）	购买普天同庆礼包		nolimit	
43	购买一本万利·肆	购买一本万利·肆		nolimit	
44	购买一本万利·伍	购买一本万利·伍		nolimit	
45	月度战场第一	获得月度战场第一	<=	nolimit	
46	群英会全胜	在群英会中取得六场全胜	=	weekly	
47	剑侠情缘周年庆	剑侠情缘周年庆		nolimit	
48	周年庆缘起礼包（648）	购买周年庆缘起礼包		nolimit	
49	周年庆情韵礼包（298）	购买周年庆情韵礼包		nolimit	
50	周年庆侠踪礼包（98）	购买周年庆侠踪礼包		nolimit	
51	周年庆剑影礼包（30）	购买周年庆剑影礼包		nolimit	
52	美女评选海选赛第一	美女评选中获得海选赛第一		nolimit	
53	美女评选海选赛前十	美女评选中获得海选赛前十		nolimit	
54	美女评选海选赛获投199	美女评选中海选赛获投199票	>=	nolimit	
