Level	MaxMember	MaxMemberAbroad	MaxNewer	MaxRetire	MaxMaster	MaxViceMaster	MaxElder	MaxElite	MaxMascot	MaxFound
1	100	100	20	0	1	1	4	30	0	1000000000
2	120	120	20	0	1	1	5	36	0	1000000000
3	130	125	20	0	1	1	5	39	2	1000000000
4	140	130	20	0	1	1	5	42	2	1000000000
5	150	135	20	0	1	1	5	45	2	1000000000
6	150	140	20	0	1	1	5	45	2	1000000000
7	150	145	20	0	1	1	5	45	2	1000000000
8	150	150	20	0	1	1	5	45	2	1500000000
9	150	150	20	0	1	1	5	45	2	1500000000
10	150	150	20	0	1	1	5	45	2	2000000000
11	150	150	20	0	1	1	5	45	2	2000000000
12	150	150	20	0	1	1	5	45	2	2000000000
13	150	150	20	0	1	1	5	45	2	2500000000
