Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	唐影	100	620	200	1	99	10000	11000	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	陸文龍		630	150		99	5930	11625	34	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	納蘭真	103	90	200	1	99	8094	11650	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	紫軒	121	622	150	1	99	11354	4884	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	納蘭潛凜	151	629	150	1	99	6682	7118	24	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	小殷方	106	623	150		99	7759	7165	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	孟知秋	107	100	150		99	13120	14900	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	月眉兒		97	150		99	11870	12950	40	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	公孫惜花	110	99	150		99	14100	8150	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	玄天道人		626	150		99	17700	11250	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	幫派總管		627	150		99	11072	17028	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	楊影楓	113	624	150		99	8777	11800	52	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	獨孤劍	114	88	150		99	14000	10210	54	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	張琳心	101	621	200	1	99	14160	10450	41	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	楊瑛		633	150		99	13770	9980	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	燕若雪		631	150	1	99	12471	13956	16	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	薔薇		632	150		99	8790	10650	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc18	張如夢	108	625	150		99	13333	8730	38	-1	0	0		0	0	0	0	0	0	0	0	
citynpc19	騰雲		693	150		99	5420	16780	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc20	駕霧		699	150		99	5200	16690	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc21	秋依水		694	150		99	9022	6970	36	-1	0	0		0	0	0	0	0	0	0	0	
citynpc22	劉雲	105	91	150		99	18340	11270	48	-1	0	0		0	0	0	0	0	0	0	0	
citynpc23	柴嵩		1350	150		99	9371	8700	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc24	南宮飛雲		89	150		99	8686	9893	2	-1	0	0		0	0	0	0	0	0	0	0	
citynpc25	張風		92	150		99	6920	11417	62	-1	0	0		0	0	0	0	0	0	0	0	
citynpc26	清曉		1529	150		99	13520	16860	42	-1	0	0		0	0	0	0	0	0	0	0	
citynpc27	祝子虛		1528	150		99	13344	12820	35	-1	0	0		0	0	0	0	0	0	0	0	
citynpc28	黃暮雲	123	1530	150	1	99	10836	4413	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc29	小紫煙	118	95	150		99	13490	4212	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc30	龍五	127	2752	150		99	7888	6100	31	-1	0	0		0	0	0	0	0	0	0	0	
CommerceTask	萬金財	109	190	200	1	99	5500	16540	28	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_tingting	挺哥	5000	1666	150	1	99	13342	7447	43	-1	0	0		0	0	0	0	0	0	0	0	
daiyanren_yuanyuan	小緣	5001	1667	150		99	11812	8263	11	-1	0	0		0	0	0	0	0	0	0	0	6008
Arena_np1	武僧	115	1829	200	1	99	11811	16615	49	-1	0	0		0	0	0	0	0	0	0	0	
Daiyanren_City_zhaoliying	真兒	120	2279		1	99	5960	17260	32	0	-1	0	0		0	0	0	0	0	0	0	0
Daiyanren_City_lingengxin	楊大俠	122	2326	150	1	99	6720	17360	46	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang	選美雕像（本服冠軍）		2306	150			11678	5043	16	-1	0	0		0	0	0	0	0	0	0	0	
BeautyPageant_diaoxiang2	選美雕像（全服冠軍）		2336	150			11670	4733	16	-1	0	0		0	0	0	0	0	0	0	0	
Marry_yuelao	月老	125	2371	150	1	99	14460	4890	49	-1	0	0		0	0	0	0	0	0	0	0	
Marry_hongniang	紅娘	126	2372	150	1	99	14000	5070	48	-1	0	0		0	0	0	0	0	0	0	0	
