Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme	HideTaskId
citynpc1	唐影	100	620	200	1	99	16100	11550	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc2	張琳心	101	621	200	1	99	14739	11250	63	-1	0	0		0	0	0	0	0	0	0	0	
citynpc3	陸文龍		630	150		99	11188	9384	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc4	納蘭真	103	90	200	1	99	12621	14938	53	-1	0	0		0	0	0	0	0	0	0	0	
citynpc5	紫軒	121	622	150	1	99	12760	18840	33	-1	0	0		0	0	0	0	0	0	0	0	
citynpc6	納蘭潛凜	151	629	150	1	99	7730	10590	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc7	小殷方	106	623	150		99	14140	12080	32	-1	0	0		0	0	0	0	0	0	0	0	
citynpc8	孟知秋	107	100	150		99	7860	12520	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc9	月眉兒		97	150		99	14940	17900	51	-1	0	0		0	0	0	0	0	0	0	0	
citynpc10	公孫惜花	110	99	150		99	9570	11560	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc11	玄天道人		626	150		99	14020	17480	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc12	幫派總管		627	150		99	10950	14140	0	-1	0	0		0	0	0	0	0	0	0	0	
citynpc13	楊影楓	113	624	150		99	12440	14510	57	-1	0	0		0	0	0	0	0	0	0	0	
citynpc14	獨孤劍	114	88	150		99	15130	12650	45	-1	0	0		0	0	0	0	0	0	0	0	
citynpc15	燕若雪		631	150		99	12121	14161	55	-1	0	0		0	0	0	0	0	0	0	0	
citynpc16	薔薇		632	150		99	12860	15930	50	-1	0	0		0	0	0	0	0	0	0	0	
citynpc17	張如夢	108	625	150		99	8570	14180	50	-1	0	0		0	0	0	0	0	0	0	0	
