Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	ForbitMove	TitleID	AuraSkillId	AuraSkillLevel	StartActEvent	Tag	DropType	DefaultDialog	WalkSpeed	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	FixExperience	IsNotBYStealLife	IsNotShowShadow	Sex	SyncFirst
Kin_Flag_1	1189	旗帜	0	0	FubenDeath		412	200	300		135	22	1	91	1			1500	1500				1	18	1						NoTurn													
Kin_Enemy_1	1190	金军斥候	0	1	FubenDeath		1127	200	300		811	22	1					1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	1										1									
Kin_Enemy_2	1254	机关战车	0	1	FubenDeath		154	200	300		812	1874	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_3	1255	铜锤蛮士	0	1	FubenDeath		1107	200	300		812			91	1			1500	1500	Setting/Npc/Ai/kinfuben/tongchuimanshi.ini			1	18	2										3									
Kin_Enemy_4	1256	反弹卫士	0	1	FubenDeath		180	200	300		812	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1687	1						3									
Kin_Enemy_5	1257	蒙面刺客	0	1	FubenDeath		121	200	300		812	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2			1685	1						3									
Kin_Enemy_6	1259	金军斥候·精英	0	1	FubenDeath		1127	200	300		812	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										3									
Kin_Enemy_7	1260	火炮	0	1	FubenDeath		378	200	300		812	22	1	91	1			1500	1500	Setting/Npc/Ai/kinfuben/huopao.ini			1	18	2										3									
Kin_Boss_1	1191	金军大将	0	1	FubenDeath		402	200	300		815	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										4									
Kin_Boss_2	1192	金军大将	0	1	FubenDeath		402	200	300		815	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										4									
Kin_Boss_3	1193	金军大将	0	1	FubenDeath		402	200	300		815	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										4									
Kin_Boss_4	1194	金军大将	0	1	FubenDeath		402	200	300		815	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										4									
Kin_Boss_5	1195	金军大将	0	1	FubenDeath		402	200	300		815	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonActive.ini			1	18	2										4									
Kin_Resouce_1	1196	金军后勤·粮	0	1	FubenDeath		171	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
Kin_Resouce_2	1197	金军后勤·草	0	1	FubenDeath		181	200	300		403	22	1	91	1			1500	1500	Setting/Npc/Ai/CommonPassive.ini			1	18	1																			
