NpcResId	Height	Width	hst_frame	hst_cross	hrun_frame	hrun_cross	wst_frame	wst_cross	wrun_frame	wrun_cross
1	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
2	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
3	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
4	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
5	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
6	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
9	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
10	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1001	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1002	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1003	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1004	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1005	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1006	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1007	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1008	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1009	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1010	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1011	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1012	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1013	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
1014	2.5	0.5	30	0.1	25	0.1	30	0.1	25	0.1
