ResId	ResFile	ResAttribID	ResSlot	Desc	Desc2	Desc3	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3
1	Player/Characters/M2/Prefab/M2_TW002_Body.prefab		B_Hs	天王新手-男																																
2	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	天王新手-女（暂无）																																
3	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	峨眉新手-男（暂无）																																
4	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	峨眉新手-女																																
5	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	桃花新手-男（暂无）																																
6	Player/Characters/F1/Prefab/F1_TH001_Body.prefab		B_Hs	桃花新手-女																																
7	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	逍遥新手-男																																
8	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	逍遥新手-女（暂无）																																
9	Player/Characters/M1/Prefab/M1_WD002_Body.prefab		B_Hs	武当新手-男																																
10	Player/Characters/F2/Prefab/F2_WD002_Body.prefab		B_Hs	武当新手-女																																
11	Player/Characters/M1/Prefab/M1_WD001_Body.prefab		B_Hs	天忍新手-男（暂无）																																
12	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	天忍新手-女																																
13	Player/Characters/M2/Prefab/M2_SL001_Body.prefab		B_Hs	少林新手-男																																
14	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	少林新手-女（暂无）																																
15	Player/Characters/M1/Prefab/M1_WD001_Body.prefab		B_Hs	翠烟新手-男（暂无）																																
16	Player/Characters/F2/Prefab/F2_CY001_Body.prefab		B_Hs	翠烟新手-女																																
17	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	唐门新手-男																																
18	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	唐门新手-女（暂无）																																
19	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	昆仑新手-男（暂无）																																
20	Player/Characters/F2/Prefab/F2_KL001_Body.prefab		B_Hs	昆仑新手-女																																
21	Player/Characters/M2/Prefab/M2_GB001_Body.prefab		B_Hs	丐帮新手-男																																
22	Player/Characters/F2/Prefab/F2_KL001_Body.prefab		B_Hs	丐帮新手-女（暂无）																																
23	Player/Characters/M1/Prefab/M1_TM002_Body.prefab		B_Hs	五毒新手-男（暂无）																																
24	Player/Characters/F1/Prefab/F1_WD001_Body.prefab		B_Hs	五毒新手-女																																
25	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	藏剑新手-男																																
26	Player/Characters/F2/Prefab/F2_CY001_Body.prefab		B_Hs	藏剑新手-女（暂无）																																
27	Player/Characters/M1/Prefab/M1_XY001_Body.prefab		B_Hs	长歌新手-男（暂无）																																
28	Player/Characters/F2/Prefab/F2_EM001_Body.prefab		B_Hs	长歌新手-女																																
29	Player/Characters/M1/Prefab/M1_TS003_Body.prefab		B_Hs	天山新手-男																																
30	Player/Characters/F2/Prefab/F2_TS003_Body.prefab		B_Hs	天山新手-女																																
31	Player/Characters/M2/Prefab/M2_BD001_Body.prefab		B_Hs	霸刀新手-男																																
32	Player/Characters/F1/Prefab/F1_BD001_Body.prefab		B_Hs	霸刀新手-女																																
1001	Player/Characters/M1/Prefab/M1_D001_Body.prefab	51001	B_Hs	M1标男等级装T1																																
1002	Player/Characters/M1/Prefab/M1_D004_Body.prefab	51002	B_Hs	M1标男等级装T2																																
1003	Player/Characters/M1/Prefab/M1_D003_Body.prefab	51003	B_Hs	M1标男等级装T3																																
1004	Player/Characters/M1/Prefab/M1_D006_Body.prefab	51004	B_Hs	M1标男等级装T4																																
1005	Player/Characters/M1/Prefab/M1_D011_Body.prefab	51005	B_Hs	M1标男等级装T5																																
1006	Player/Characters/M1/Prefab/M1_D010_Body.prefab	51006	B_Hs	M1标男等级装T6																																
1007	Player/Characters/M1/Prefab/M1_D009_Body.prefab	51007	B_Hs	M1标男等级装T7																																
1008	Player/Characters/M1/Prefab/M1_D005_Body.prefab	51008	B_Hs	M1标男等级装T8																																
1009	Player/Characters/M1/Prefab/M1_D012_Body.prefab	51009	B_Hs	M1标男等级装T9																																
1010	Player/Characters/M1/Prefab/M1_D008_Body.prefab	51010	B_Hs	M1标男等级装T10																																
1011	Player/Characters/M1/Prefab/M1_D002_Body.prefab	51011	B_Hs	M1标男等级装T11																																
1012	Player/Characters/M1/Prefab/M1_D007_Body.prefab	51012	B_Hs	M1标男等级装T12																																
1013	Player/Characters/M1/Prefab/M1_D013_Body.prefab	51013	B_Hs	M1标男等级装T13																																
1014	Player/Characters/M1/Prefab/M1_D014_Body.prefab		B_Hs	M1标男等级装T14				1		M1_D014_Body	0		255|231|181|131	1	208|228|234|15	1	63|183|255|0	1																		
1015	Player/Characters/M1/Prefab/M1_D015_Body.prefab		B_Hs	M1标男等级装T15				1		M1_D015_Body	0		255|234|168|153	1	251|210|210|92	1	255|255|255|16	1																		
1101	Player/Characters/M1/Prefab/M1_D010_Body.prefab	51101	B_Hs	M1标男等级装T6·黄金装																																
1102	Player/Characters/M1/Prefab/M1_D009_Body.prefab	51102	B_Hs	M1标男等级装T7·黄金装																																
1103	Player/Characters/M1/Prefab/M1_D005_Body.prefab	51103	B_Hs	M1标男等级装T8·黄金装																																
1104	Player/Characters/M1/Prefab/M1_D012_Body.prefab	51104	B_Hs	M1标男等级装T9·黄金装																																
1105	Player/Characters/M1/Prefab/M1_D008_Body.prefab	51105	B_Hs	M1标男等级装T10·黄金装																																
1106	Player/Characters/M1/Prefab/M1_D002_Body.prefab	51106	B_Hs	M1标男等级装T11·黄金装																																
1107	Player/Characters/M1/Prefab/M1_D007_Body.prefab	51107	B_Hs	M1标男等级装T12·黄金装																																
1108	Player/Characters/M1/Prefab/M1_D013_Body.prefab	51108	B_Hs	M1标男等级装T13·黄金装																																
1109	Player/Characters/M1/Prefab/M1_D014_Body.prefab		B_Hs	M1标男等级装T14·黄金装						M1_D014_Body	1		73|73|73|123	1.21	179|145|0|77	1.12	159|138|112|0	1.19																		
1110	Player/Characters/M1/Prefab/M1_D015_Body.prefab		B_Hs	M1标男等级装T15·黄金装						M1_D015_Body	1		255|220|26|142	1	74|69|69|48	2.12	255|184|0|15	1																		
1201	Player/Characters/M1/Prefab/M1_D001_Body.prefab	51201	B_Hs	M1标男等级装T1·偏色1																																
1202	Player/Characters/M1/Prefab/M1_D001_Body.prefab	51202	B_Hs	M1标男等级装T1·偏色2																																
1203	Player/Characters/M1/Prefab/M1_D001_Body.prefab	51203	B_Hs	M1标男等级装T1·偏色3																																
1204	Player/Characters/M1/Prefab/M1_D004_Body.prefab	51204	B_Hs	M1标男等级装T2·偏色1																																
1205	Player/Characters/M1/Prefab/M1_D004_Body.prefab	51205	B_Hs	M1标男等级装T2·偏色2																																
1206	Player/Characters/M1/Prefab/M1_D004_Body.prefab	51206	B_Hs	M1标男等级装T2·偏色3																																
1207	Player/Characters/M1/Prefab/M1_D003_Body.prefab	51207	B_Hs	M1标男等级装T3·偏色1																																
1208	Player/Characters/M1/Prefab/M1_D003_Body.prefab	51208	B_Hs	M1标男等级装T3·偏色2																																
1209	Player/Characters/M1/Prefab/M1_D003_Body.prefab	51209	B_Hs	M1标男等级装T3·偏色3																																
1210	Player/Characters/M1/Prefab/M1_D006_Body.prefab	51210	B_Hs	M1标男等级装T4·偏色1																																
