ResId	ResFile	ResAttribID	ResSlot	Desc	Scale	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3	SlotName2	SlotGray2	SlotMinCast2	Slot2Color1	Slot2Light1	Slot2Color2	Slot2Light2	Slot2Color3	Slot2Light3	SlotName3	SlotGray3	SlotMinCast3	Slot3Color1	Slot3Light1	Slot3Color2	Slot3Light2	Slot3Color3	Slot3Light3
1	Player/Characters/M2/Prefab/M2_TW002_Head.prefab		head	天王新手-男																														
2	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	天王新手-女（暂无）																														
3	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	峨眉新手-男（暂无）																														
4	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	峨眉新手-女																														
5	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	桃花新手-男（暂无）																														
6	Player/Characters/F1/Prefab/F1_TH001_Head.prefab		head	桃花新手-女																														
7	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	逍遥新手-男																														
8	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	逍遥新手-女（暂无）																														
9	Player/Characters/M1/Prefab/M1_WD002_Head.prefab		head	武当新手-男																														
10	Player/Characters/F2/Prefab/F2_WD002_Head.prefab		head	武当新手-女																														
11	Player/Characters/M1/Prefab/M1_WD001_Head.prefab		head	天忍新手-男（暂无）																														
12	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	天忍新手-女																														
13	Player/Characters/M2/Prefab/M2_SL001_Head.prefab		head	少林新手-男																														
14	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	少林新手-女（暂无）																														
15	Player/Characters/M1/Prefab/M1_WD001_Head.prefab		head	翠烟新手-男（暂无）																														
16	Player/Characters/F2/Prefab/F2_CY001_Head.prefab		head	翠烟新手-女																														
17	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	唐门新手-男																														
18	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	唐门新手-女（暂无）																														
19	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	昆仑新手-男（暂无）																														
20	Player/Characters/F2/Prefab/F2_KL001_Head.prefab		head	昆仑新手-女																														
21	Player/Characters/M2/Prefab/M2_GB001_Head.prefab		head	丐帮新手-男																														
22	Player/Characters/F2/Prefab/F2_KL001_Head.prefab		head	丐帮新手-女（暂无）																														
23	Player/Characters/M1/Prefab/M1_TM002_Head.prefab		head	五毒新手-男（暂无）																														
24	Player/Characters/F1/Prefab/F1_WD001_Head.prefab		head	五毒新手-女																														
25	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	藏剑新手-男																														
26	Player/Characters/F2/Prefab/F2_CY001_Head.prefab		head	藏剑新手-女（暂无）																														
27	Player/Characters/M1/Prefab/M1_XY001_Head.prefab		head	长歌新手-男（暂无）																														
28	Player/Characters/F2/Prefab/F2_EM001_Head.prefab		head	长歌新手-女																														
29	Player/Characters/M1/Prefab/M1_TS001_Head.prefab		head	天山新手-男																														
30	Player/Characters/F2/Prefab/F2_TS001_Head.prefab		head	天山新手-女																														
31	Player/Characters/M2/Prefab/M2_BD001_Head.prefab		head	霸刀新手-男																														
32	Player/Characters/F1/Prefab/F1_BD001_Head.prefab		head	霸刀新手-女																														
1001	Player/Characters/M1/Prefab/M1_D001_Head.prefab	151001	head	M1标男等级装T1																														
1002	Player/Characters/M1/Prefab/M1_D004_Head.prefab	151002	head	M1标男等级装T2																														
1003	Player/Characters/M1/Prefab/M1_D003_Head.prefab	151003	head	M1标男等级装T3																														
1004	Player/Characters/M1/Prefab/M1_D006_Head.prefab	151004	head	M1标男等级装T4																														
1005	Player/Characters/M1/Prefab/M1_D011_Head.prefab	151005	head	M1标男等级装T5																														
1006	Player/Characters/M1/Prefab/M1_D010_Head.prefab	151006	head	M1标男等级装T6																														
1007	Player/Characters/M1/Prefab/M1_D009_Head.prefab	151007	head	M1标男等级装T7																														
1008	Player/Characters/M1/Prefab/M1_D005_Head.prefab	151008	head	M1标男等级装T8																														
1009	Player/Characters/M1/Prefab/M1_D012_Head.prefab	151009	head	M1标男等级装T9																														
