ResId	ResFile	ResAttribID	Desc	IsOrgColorValue	MinCastValue	SlotName1	SlotGray1	SlotMinCast1	Slot1Color1	Slot1Light1	Slot1Color2	Slot1Light2	Slot1Color3	Slot1Light3
1	Player/Horse/Prefabs/Horse01.prefab													
2	Player/Horse/Prefabs/Horse02.prefab													
3	Player/Horse/Prefabs/Horse03.prefab													
4	Player/Horse/Prefabs/Horse04.prefab													
5	Player/Horse/Prefabs/Horse05.prefab	801												
6	Player/Horse/Prefabs/Horse06.prefab													
7	Player/Horse/Prefabs/Horse05.prefab	802												
8	Player/Horse/Prefabs/Horse09.prefab													
9	Player/Horse/Prefabs/Horse09_a.prefab													
10	Player/Horse/Prefabs/Horse07.prefab													
11	Player/Horse/Prefabs/Horse08.prefab													
12	Player/Horse/Prefabs/Horse08.prefab	806												
13	Player/Horse/Prefabs/Horse10.prefab													
14	Player/Horse/Prefabs/Horse10_a.prefab													
15	Player/Horse/Prefabs/Horse11.prefab													
16	Player/Horse/Prefabs/Horse11_a.prefab													
17	Player/Horse/Prefabs/Horse10_b.prefab													
18	Player/Horse/Prefabs/Horse15.prefab													
19	Player/Horse/Prefabs/Horse16.prefab													
20	Player/Horse/Prefabs/Horse16_a.prefab													
21	Player/Horse/Prefabs/HorseHk01.prefab													
22	Player/Horse/Prefabs/Horse05.prefab	803												
23	Player/Horse/Prefabs/Horse05.prefab	804												
24	Player/Horse/Prefabs/HorseHk01.prefab	805												
25	Player/Horse/Prefabs/Horse17.prefab													
26	Player/Horse/Prefabs/Horse17_a.prefab													
27	Player/Horse/Prefabs/Horse18.prefab													
28	Player/Horse/Prefabs/Horse18_a.prefab													
29	Player/Horse/Prefabs/Horse09.prefab	807												
30	Player/Horse/Prefabs/Wolf01.prefab		黑狼	1		Wolf01	0		0|0|0|255		255|255|255|255		255|255|255|255	
31	Player/Horse/Prefabs/Wolf02.prefab		螭魅雪狐											
32	Player/Horse/Prefabs/Wolf02_a.prefab		幽炎·螭魅雪狐											
33	Player/Horse/Prefabs/Wolf01.prefab	808	血瞳·啸霜											
34	Player/Horse/Prefabs/Wolf01.prefab	809	血瞳·荒尘											
35	Player/Horse/Prefabs/Wolf01.prefab	810	血瞳·月绝											
36	Player/Horse/Prefabs/Horse11_b.prefab		众星攒月驹											
