nItemId	nAddExp	szCardId
8314	200	2
8322	100	21
8323	200	5
8324	200	3
8325	100	20
8326	50	60
8327	50	55
8328	50	61
8329	100	14
8330	200	4
8331	100	19
8332	200	11
8333	200	7
8334	100	15
8335	50	63
8336	200	8
8337	50	57
8338	100	13
8339	50	42
8340	50	43
8341	200	10
8342	200	9
8343	100	12
8344	100	18
8345	50	40
8346	50	45
8347	100	41
8348	200	6
8349	100	16
8350	200	1
8351	100	23
8352	50	62
8353	50	24
8354	50	56
8355	50	44
8356	50	64
8479	50	25
8480	50	26
8481	50	27
8482	50	28
8483	50	29
8484	50	30
8485	50	31
8486	50	32
8487	50	33
8488	50	34
8489	50	35
8490	50	36
8491	50	37
8492	50	38
8493	50	39
8494	50	58
8495	50	59
8496	50	65
8497	100	22
8359	5	
8360	10	
8361	20	
8362	40	
8363	50	
8364	50	46;47;48;49;50;51;52;53;54
8365	100	
8366	200	
