nCardPos	nPartnerPos	szOpenTimeFrame	szCost	szLockTip	szConsumeTip
1	1				
2	1				
3	1				
4	1				
5	1				
6	1	OpenDay720			
7	1	OpenDay720			
8	1	OpenDay720			
9	1	OpenDay720			
10	1	OpenDay720			
11	2	OpenDay720			
12	2	OpenDay720			
13	2	OpenDay720			
14	2	OpenDay720			
15	2	OpenDay720			
16	2	OpenDay720			
17	2	OpenDay720			
18	2	OpenDay720			
19	2	OpenDay720			
20	2	OpenDay720			
21	3	OpenDay720			
22	3	OpenDay720			
23	3	OpenDay720			
24	3	OpenDay720			
25	3	OpenDay720			
26	3	OpenDay720			
27	3	OpenDay720			
28	3	OpenDay720			
29	3	OpenDay720			
30	3	OpenDay720			
31	4	OpenDay720			
32	4	OpenDay720			
33	4	OpenDay720			
34	4	OpenDay720			
35	4	OpenDay720			
36	4	OpenDay720			
37	4	OpenDay720			
38	4	OpenDay720			
39	4	OpenDay720			
40	4	OpenDay720			
