ProductId	szDesc	szServiceCode	nLastingDay	nMoney	szMoneyType	nNeedVipLevel	szAward	szFirstAward	szThirdAward	szFourthAward	szFifthAward	szGroup	nGroupIndex	szVersion	nEndTimeKey	nBuyDayKey	szSprite	szFirstDesc	szNoromalDesc	Plat
com.tencent.jxqy.money60	60元宝		0	600	RMB		Gold|5	Gold|60				BuyGold	1	version_tx			Recharge_00	另送60元宝，限购1次	60元宝(赠送5元宝)	
com.tencent.jxqy.money300	300元宝			3000	RMB		Gold|30	Gold|300				BuyGold	2	version_tx			Recharge_02	另送300元宝，限购1次	300元宝(赠送30元宝)	
com.tencent.jxqy.money980	980元宝			9800	RMB		Gold|150	Gold|980				BuyGold	3	version_tx			Recharge_03	另送980元宝，限购1次	980元宝(赠送150元宝)	
com.tencent.jxqy.money1980	1980元宝			19800	RMB		Gold|400	Gold|1980				BuyGold	4	version_tx			Recharge_04	另送1980元宝，限购1次	1980元宝(赠送400元宝)	
com.tencent.jxqy.money3280	3280元宝			32800	RMB		Gold|850	Gold|3280				BuyGold	5	version_tx			Recharge_05	另送3280元宝，限购1次	3280元宝(赠送850元宝)	
com.tencent.jxqy.money6480	6480元宝			64800	RMB		Gold|2000	Gold|6480				BuyGold	6	version_tx			Recharge_06	另送6480元宝，限购1次	6480元宝(赠送2000元宝)	
com.tencent.jxqy.gift18	7日礼包	weekcard	7	1800	RMB		Gold|180					DaysCard	1	version_tx	7		Recharge_09		7日礼包	
com.tencent.jxqy.gift30	30日礼包	monthcard	30	3000	RMB		Gold|300					DaysCard	2	version_tx	2		Recharge_10		30日礼包	
com.tencent.jxqy.supergift40	至尊7日礼包	weekcard40	7	4000	RMB		Gold|400					DaysCard	3	version_tx	82		Recharge_11		至尊7日礼包	
com.tencent.jxqy.giftlevel	一本万利	invest	999999	8800	RMB							GrowInvest	1	version_tx					$12.99成长基金	
com.tencent.jxqy.giftlevel2	一本万利·贰	invest2	999999	9800	RMB							GrowInvest	2	version_tx					$12.99成长基金	
com.tencent.jxqy.giftlevel3	一本万利·三	invest3	999999	10800	RMB							GrowInvest	3	version_tx					成长基金	
com.tencent.jxqy.giftlevel108	一本万利·国庆	investGQ	30	10800	RMB							GrowInvest	4	version_tx					108元国庆基金	
com.tencent.jxqy.giftlevel4	一本万利·肆	invest4	999999	10800	RMB							GrowInvest	5	version_tx					成长基金	
com.tencent.jxqy.giftlevel5	一本万利·伍	invest5	999999	10800	RMB							GrowInvest	6	version_tx					成长基金	
com.tencent.jxqy.return108	一本万利·回归	investRT	999999	10800	RMB	5						GrowInvest	7	version_tx					成长基金	
com.tencent.jxqy.giftlevel6	一本万利·陆	invest6	999999	10800	RMB							GrowInvest	8	version_tx					成长基金	
com.tencent.jxqy.giftlevel7	一本万利·柒	invest7	999999	10800	RMB							GrowInvest	9	version_tx					成长基金	
com.tencent.jxqy.giftlevel8	一本万利·捌	invest8	999999	10800	RMB							GrowInvest	10	version_tx					成长基金	
com.tencent.jxqy.gift1	白银礼包	daycard	1	100	RMB	1	item|1242|1;Gold|10					DayGift	1	version_tx	11	13			$0.99购买	
com.tencent.jxqy.gift3	黄金礼包	daycard3	1	300	RMB	3	item|2518|1;Gold|30					DayGift	2	version_tx	16	14			$1.99购买	
com.tencent.jxqy.gift6	钻石礼包	daycard6	1	600	RMB	5	item|2519|1;Gold|60					DayGift	3	version_tx	17	15			$2.99购买	
com.tencent.jxqy.gift60	每日礼包合集（7天）	daycard60	7	6000	RMB	5						DayGiftPlus	1	version_tx	61				7日136礼包	
com.tencent.jxqy.discountpack30	30元豪华礼包	dispack30	1	3000	RMB		item|9559|1	item|9560|1	item|9561|1	item|9563|1	item|9563|1	YearGift	1	version_tx	40	41			价值30美金礼包	
com.tencent.jxqy.discountpack98	98元豪华礼包	dispack98	1	9800	RMB		item|9555|1	item|9556|1	item|9557|1	item|9558|1	item|9558|1	YearGift	2	version_tx	42	43			价值80美金礼包	
com.tencent.jxqy.discountpack298	298元豪华礼包	dispack298	15	29800	RMB		item|9551|1	item|9552|1	item|9553|1	item|9554|1	item|9554|1	YearGift	3	version_tx	44	45			价值250美金礼包	
com.tencent.jxqy.discountpack648	648元豪华礼包	dispack648	15	64800	RMB		item|9547|1	item|9548|1	item|9549|1	item|9550|1	item|9562|1	YearGift	4	version_tx	46	47			价值250美金礼包	
com.tencent.jxqy.enhancegift30	直强20	enhance30	2	3000	RMB		item|3922|1					DirectEnhance	1	version_tx	52			$4.99购买	价值290元礼包	
com.tencent.jxqy.enhancegift98	直强30	enhance98	2	9800	RMB		item|3923|1					DirectEnhance	2	version_tx	53			98元购买	价值737元礼包	
com.tencent.jxqy.enhancegift198	直强40	enhance198	2	19800	RMB		item|3924|1					DirectEnhance	3	version_tx	54			198元购买	价值1451元礼包	
com.tencent.jxqy.enhancegift388	直强50	enhance388	2	38800	RMB		item|3925|1					DirectEnhance	4	version_tx	73			388元购买	价值3600元礼包	
com.tencent.jxqy.return480	0.99$回归元宝礼包	return480	1	600	RMB		Gold|480					BackGift	1	version_tx	67				价值48元礼包	
com.tencent.jxqy.return4800	3.99$回归元宝礼包	return4800	1	3000	RMB		Gold|4800					BackGift	2	version_tx	68				价值480元礼包	
com.tencent.jxqy.return1	0.99$超值回归礼包	return1	1	600	RMB		item|1242|6;Gold|60					BackGift	3	version_tx	69				价值60元礼包	
com.tencent.jxqy.return6	0.99$超值福利礼包	return6	1	600	RMB		item|2518|2;Gold|60					BackGift	4	version_tx	70				价值36元礼包	
com.tencent.jxqy.return30	3.99$超值豪华礼包	return30	1	3000	RMB		item|2519|5;Gold|300					BackGift	5	version_tx	71				价值150元礼包	
com.vng.jxm.item1	80元宝			200	VND		Gold|80	Gold|160				BuyGold	1	version_vn			Recharge_00	另送80元宝，限购1次	80元宝	
com.vng.jxm.item2	200元宝			500	VND		Gold|200	Gold|400				BuyGold	2	version_vn			Recharge_02	另送200元宝，限购1次	200元宝	
com.vng.jxm.item3	400元宝			1000	VND		Gold|400	Gold|800				BuyGold	3	version_vn			Recharge_03	另送400元宝，限购1次	400元宝	
com.vng.jxm.item4	2000元宝			5000	VND		Gold|2000	Gold|4000				BuyGold	4	version_vn			Recharge_04	另送2000元宝，限购1次	2000元宝	
com.vng.jxm.item5	4000元宝			10000	VND		Gold|4000	Gold|8000				BuyGold	5	version_vn			Recharge_05	另送4000元宝，限购1次	4000元宝	
com.vng.jxm.item6	6000元宝			15000	VND		Gold|6000	Gold|12000				BuyGold	6	version_vn			Recharge_06	另送6000元宝，限购1次	6000元宝	
com.vng.jxm.item14	20000元宝服务端			50000	VND		Gold|20000	Gold|20000				BuyGoldServer	1	version_vn						
