nId	nIndex	nItemId	szName	nPrice	nMaxCount	nRate	szTimeFrame
1	17	212	白水晶	50	100	100	
2	16	222	绿水晶	200	30	100	
3	15	223	蓝水晶	800	10	100	
4	14	224	紫水晶	3200	3	100	OpenLevel69
5	10	2590	五香粽	600	3	100	
6	9	2591	八宝粽	5000	1	10	
7	8	1430	武林秘笈（上卷）	5000	1	20	
8	7	2700	T0外装	5000	1	20	
9	5	2301	修炼丹	1800	1	50	
10	4	2759	传功丹	1800	1	50	
11	1	2160	随机4级同伴技能书	15000	1	10	
12	3	2847	初级魂石·玄慈	4500	1	30	
13	2	2848	初级魂石·玄因	13500	1	10	OpenLevel79
14	13	2878	沧海月明	300	3	100	
16	11	2876	月满西楼	5000	1	10	
17	6	6203	T0武器	8000	1	20	
