GoodsId	TemplateId	Name	Price	MoneyType	ShopType	SubType	Sort	Discount	LimitType	LimitNum	HotTip	TimeFrame	CloseTimeFrame	MinLevel	ShowLevel	ShowVipLevel	OpenTime	CloseTime	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
1	212	白水晶	12	Gold	Treasure		1												1	1	1	1	1	1	1
2	222	绿水晶	50	Gold	Treasure		2												1	1	1	1	1	1	1
3	213	破损的神秘矿石	50	Gold	Treasure		3												1	1	1	1	1	1	1
4	214	普通的神秘矿石	200	Gold	Treasure		4												1	1	1	1	1	1	1
5	223	蓝水晶	200	Gold	Treasure		5												1	1	1	1	1	1	1
6	224	紫水晶	800	Gold	Treasure		6												1	1	1	1	1	1	1
7	215	无暇的神秘矿石	800	Gold	Treasure		7												1	1	1	1	1	1	1
8	785	黄金钥匙	20	Gold	Treasure		8												1	1	1	1	1	1	1
9	1412	喇叭·世界频道	5000	Gold	Treasure		9												1	1	1	1	1	1	1
10	1413	千里传音	10000	Gold	Treasure		10												1	1	1	1	1	1	1
11	1927	陈年女儿红	1	Gold	Treasure		11												1	1	1	1	1	1	1
12	1929	白驹丸	48	Gold	Treasure		12												1	1	1	1	1	1	1
13	1930	特效白驹丸	240	Gold	Treasure		13												1	1	1	1	1	1	1
14	2301	修炼丹	180	Gold	Treasure		14												1	1	1	1	1	1	1
15	1016	强效同伴经验药水	5	Gold	Treasure		15												1	1	1	1	1	1	1
16	2569	染色剂	298	Gold	Treasure		16												1	1	1	1	1	1	1
17	1342	特效同伴经验药水	50	Gold	Treasure		17												1	1	1	1	1	1	1
18	1234	玫瑰花	20	Gold	Treasure		18												1	1	1	1	1	1	1
19	1235	幸运草	20	Gold	Treasure		19												1	1	1	1	1	1	1
20	2682	转门派权杖	5000	Gold	Treasure		20												1	1	1	1	1	1	1
21	2759	传功丹	180	Gold	Treasure		21												1	1	1	1	1	1	1
22	3368	金兰谱	1200	Gold	Treasure		22												1	1	1	1	1	1	1
23	2180	99朵玫瑰花	388	Gold	Treasure		23												1	1	1	1	1	1	1
24	2181	99棵幸运草	388	Gold	Treasure		24												1	1	1	1	1	1	1
25	3571	喇叭·主播频道	50	Gold	Treasure		25												1	1	1	1	1	1	1
26	6151	真气丹（1000点）	250	Gold	Treasure		26												1	1	1	1	1	1	1
27	6152	真气丹（5000点）	1250	Gold	Treasure		27												1	1	1	1	1	1	1
28	7284	精致修裱材料	50	Gold	Treasure		28												1	1	1	1	1	1	1
29	1968	洗髓丹	240	Gold	Treasure		29												1	1	1	1	1	1	1
30	1969	资质丹	680	Gold	Treasure		30												1	1	1	1	1	1	1
31	7285	传世修裱材料	240	Gold	Treasure		31												1	1	1	1	1	1	1
32	2160	4级同伴技能书	100000	Gold	Treasure		32												1	1	1	1	1	1	1
33	2161	5级同伴技能书	200000	Gold	Treasure		33												1	1	1	1	1	1	1
34	6813	元气贡献任选礼盒	40000	Gold	Treasure		34												1	1	1	1	1	1	1
35	6149	任脉·曲骨通穴秘卷	200000	Gold	Treasure		35												1	1	1	1	1	1	1
36	6150	督脉·长强通穴秘卷	200000	Gold	Treasure		36												1	1	1	1	1	1	1
37	6276	冲脉·幽门通穴秘卷	200000	Gold	Treasure		37												1	1	1	1	1	1	1
38	6277	阳跷脉·睛明通穴秘卷	200000	Gold	Treasure		38												1	1	1	1	1	1	1
39	4731	2级家俱材料24选礼盒	30000	Gold	Treasure		39												1	1	1	1	1	1	1
40	4732	3级家俱材料12选礼盒	40000	Gold	Treasure		40												1	1	1	1	1	1	1
41	4733	4级家俱材料6选礼盒	50000	Gold	Treasure		41												1	1	1	1	1	1	1
42	4734	5级家俱材料3选礼盒	60000	Gold	Treasure		42												1	1	1	1	1	1	1
43	1422	修炼珠	1	Gold	Treasure		43												1	1	1	1	1	1	1
44	2301	修炼丹	20000	Gold	Treasure		44												1	1	1	1	1	1	1
45	788	高级藏宝图	58888	Gold	Treasure		45												1	1	1	1	1	1	1
46	3693	SS级本命武器挑选礼盒	3000000	Gold	Treasure		46												1	1	1	1	1	1	1
47	3701	S级本命武器挑选礼盒	1666666	Gold	Treasure		47												1	1	1	1	1	1	1
49	6091	SS级同伴挑选宝箱	3000000	Gold	Treasure		49												1	1	1	1	1	1	1
50	6148	SSS级同伴任选礼盒	8888888	Gold	Treasure		50												1	1	1	1	1	1	1
51	3545	武则天·明空栖凤指	8888888	Gold	Treasure		51												1	1	1	1	1	1	1
52	3544	秦始皇·泰阿剑	8888888	Gold	Treasure		52												1	1	1	1	1	1	1
53	4057	完颜洪烈·金龙御鹰手	8888888	Gold	Treasure		53												1	1	1	1	1	1	1
54	3543	项羽·霸王戟	8888888	Gold	Treasure		54												1	1	1	1	1	1	1
55	4859	龙鳞凤羽	6666666	Gold	Treasure		55												1	1	1	1	1	1	1
56	5359	大天使之驹	8888888	Gold	Treasure		56												1	1	1	1	1	1	1
57	4583	抱月拥星驹	8888888	Gold	Treasure		57												1	1	1	1	1	1	1
58	4050	乘云蹑影驹	8888888	Gold	Treasure		58												1	1	1	1	1	1	1
59	4051	赛龙黑鬃驹	8888888	Gold	Treasure		59												1	1	1	1	1	1	1
60	8369	众星攒月驹	8888888	Gold	Treasure		60												1	1	1	1	1	1	1
61	4859	龙鳞凤羽	8888888	Gold	Treasure		61												1	1	1	1	1	1	1
62	7152	宝蓝	8888888	Gold	Treasure		62												1	1	1	1	1	1	1
63	7535	绝地战狼	12888888	Gold	Treasure		63												1	1	1	1	1	1	1
64	1526	3级附魔石·攻击	58888	Gold	Treasure		64												1	1	1	1	1	1	1
65	2827	初级魂石·秦始皇(阴)(唯一)	3000000	Gold	Treasure		65												1	1	1	1	1	1	1
66	2828	初级魂石·秦始皇(阳)(唯一)	3000000	Gold	Treasure		66												1	1	1	1	1	1	1
67	6126	初级魂石·武则天(阴)(唯一)	3000000	Gold	Treasure		67												1	1	1	1	1	1	1
68	6127	初级魂石·武则天(阳)(唯一)	3000000	Gold	Treasure		68												1	1	1	1	1	1	1
69	6112	初级魂石·绝世虞姬(唯一)	3000000	Gold	Treasure		69												1	1	1	1	1	1	1
70	4053	初级魂石·完颜洪烈(真)(唯一)	3000000	Gold	Treasure		70												1	1	1	1	1	1	1
71	4595	初级魂石·项羽(唯一)	3000000	Gold	Treasure		71												1	1	1	1	1	1	1
72	3897	初级魂石·唐简(唯一)	3000000	Gold	Treasure		72												1	1	1	1	1	1	1
73	4849	初级魂石·唐晓(唯一)	3000000	Gold	Treasure		73												1	1	1	1	1	1	1
74	2424	门派信物	18888	Gold	Treasure		74												1	1	1	1	1	1	1
75	2527	马牌	28888	Gold	Treasure		75												1	1	1	1	1	1	1
1000	212	白水晶	8	Gold	Treasure		1	6	7	200									1	1	1	1	1	1	1
