nDayIdx	szType	nItemId	nCount
1	SilverBoard		10000
1	SilverBoard		10000
1	SilverBoard		10000
1	SilverBoard		20000
2	SilverBoard		10000
2	SilverBoard		10000
2	SilverBoard		10000
2	SilverBoard		20000
3	SilverBoard		10000
3	SilverBoard		10000
3	SilverBoard		10000
3	SilverBoard		20000
4	SilverBoard		10000
4	SilverBoard		10000
4	SilverBoard		10000
4	SilverBoard		20000
5	SilverBoard		10000
5	SilverBoard		10000
5	SilverBoard		10000
5	SilverBoard		20000
6	SilverBoard		10000
6	SilverBoard		10000
6	SilverBoard		10000
6	SilverBoard		20000
7	SilverBoard		10000
7	SilverBoard		10000
7	SilverBoard		10000
7	SilverBoard		20000
8	SilverBoard		10000
8	SilverBoard		10000
8	SilverBoard		10000
8	SilverBoard		20000
9	SilverBoard		10000
9	SilverBoard		10000
9	SilverBoard		10000
9	SilverBoard		20000
10	SilverBoard		10000
10	SilverBoard		10000
10	SilverBoard		10000
10	SilverBoard		20000
11	SilverBoard		10000
11	SilverBoard		10000
11	SilverBoard		10000
11	SilverBoard		20000
12	SilverBoard		10000
12	SilverBoard		10000
12	SilverBoard		10000
12	SilverBoard		20000
13	SilverBoard		10000
13	SilverBoard		10000
13	SilverBoard		10000
13	SilverBoard		20000
14	SilverBoard		10000
14	SilverBoard		10000
14	SilverBoard		10000
14	SilverBoard		20000
