nMonth	nVip	szType	nItemId	nCount	Desc
	1	Gold		500000	50万元宝
		Gold		500000	50万元宝
	2	Gold		500000	50万元宝
		Gold		500000	50万元宝
	3	Gold		500000	50万元宝
		Gold		500000	50万元宝
	4	Gold		500000	50万元宝
		Gold		500000	50万元宝
	5	Gold		500000	50万元宝
		Gold		500000	50万元宝
	6	Gold		500000	50万元宝
		Gold		500000	50万元宝
	7	Gold		500000	50万元宝
		Gold		500000	50万元宝
	8	Gold		500000	50万元宝
		Gold		500000	50万元宝
	9	Gold		500000	50万元宝
		Gold		500000	50万元宝
	9	Gold		500000	50万元宝
		Gold		500000	50万元宝
	10	Gold		500000	50万元宝
		Gold		500000	50万元宝
	10	Gold		500000	50万元宝
		Gold		500000	50万元宝
	11	Gold		500000	50万元宝
		Gold		500000	50万元宝
	11	Gold		500000	50万元宝
		Gold		500000	50万元宝
	12	Gold		500000	50万元宝
		Gold		500000	50万元宝
	12	Gold		500000	50万元宝
