ServerId	Normal	Battle	Baihu	TeamBattle	Indiffer	DaXueZhang	BiWuZhaoQin	WLDH	BLBoss	ZoneBossMaster	FactionBattle	QYHCross	CrossDomain	KeyQuestFuben
10001	1	2	2	2	2	2	2	2	2	2	2	2	1	2
10002	1	2	2	2	2	2	2	2	2	2	2	2	1	2
10003	1	2	2	2	2	2	2	2	2	2	2	2	1	2
10005	1	3	3	3	3	3	3	3	3	3	3	3	1	3
10006	1	3	3	3	3	3	3	3	3	3	3	3	1	3
10008	1	3	3	3	3	3	3	3	3	3	3	3	1	3
10010	1	4	4	4	4	4	4	4	4	4	4	4	1	4
10012	1	4	4	4	4	4	4	4	4	4	4	4	1	4
10014	1	4	4	4	4	4	4	4	4	4	4	4	1	4
10016	1	5	5	5	5	5	5	5	5	5	5	5	1	5
10023	1	5	5	5	5	5	5	5	5	5	5	5	1	5
10028	1	5	5	5	5	5	5	5	5	5	5	5	1	5
10030	1	6	6	6	6	6	6	6	6	6	6	6	1	6
10032	1	6	6	6	6	6	6	6	6	6	6	6	1	6
10033	1	6	6	6	6	6	6	6	6	6	6	6	1	6
